COMPANY-NAME,URL,CITY,STATE,EMPLOYEES,TAGS,sponsorship-activation,mobile-tours,b-to-b-meetingsevents,launch-events,buzz-influencer-programs,pr-events,worldwide-event-programs,sampling,sales-conferencesmeetings,internal-employee-events,guerrilla-street-programs,nightlife-marketing,pop-up-stores,trade-shows,retailtainment-events,developer-conferencesevents,college-campus-marketing,press-events,multicultural-events,automotive-launches-and-personal-drive-experiences,events-for-content,digitalsocial-program-creation,corporate-visitorexperience-centers,sports-marketing,incentive-travel
MIRRORED MEDIA,http://www.eventmarketer.com/company/mirrored-media/,TBD,TBD,1,all buzz-influencer-programs launch-events sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKG,http://www.eventmarketer.com/company/mkg/,TBD,TBD,1,all pr-events pop-up-stores sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKTG,http://www.eventmarketer.com/company/mktg-inc/,TBD,TBD,1,all buzz-influencer-programs nightlife-marketing sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MODERNE COMMUNICATIONS,http://www.eventmarketer.com/company/moderne-communications/,TBD,TBD,1,all guerrilla-street-programs pr-events pop-up-stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOMENTUM WORLDWIDE,http://www.eventmarketer.com/company/momentum-worldwide/,TBD,TBD,1,all mobile-tours nightlife-marketing sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSAIC,http://www.eventmarketer.com/company/mosaic/,TBD,TBD,1,all guerrilla-street-programs launch-events nightlife-marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTIVE,http://www.eventmarketer.com/company/motive/,TBD,TBD,1,all college-campus-marketing events-for-content guerrilla-street-programs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MVP COLLABORATIVE,http://www.eventmarketer.com/company/mvp-collaborative/,TBD,TBD,1,all b-to-b-meetingsevents sales-conferencesmeetings sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA COLLECTIVE,http://www.eventmarketer.com/company/na-collective/,TBD,TBD,1,all b-to-b-meetingsevents launch-events press-events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCOMPASS,http://www.eventmarketer.com/company/ncompass-international/,TBD,TBD,1,all retailtainment-events launch-events sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
