,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
3183,San Francisco,California,San Francisco,14863448,manifold,Advertising & Marketing,16,3183,44172,1,105.7138,4,5,CA,Manifold
3217,Binghamton,New York,"Binghamton, NY",14368460,savearound,Advertising & Marketing,104,3217,20099,4,104.072,238,5,NY,SaveAround
3255,Westminster,Colorado,Denver,32246758,trueffect,Advertising & Marketing,50,3255,23277,4,102.5291,30,5,CO,Trueffect
3259,Irvine,California,Los Angeles,7400748,rhythm,Advertising & Marketing,46,3259,24162,4,102.4243,2,5,CA,Rhythm
3273,Portland,Oregon,"Portland, OR",5097941,quango,Advertising & Marketing,21,3273,24543,3,101.9563,10,5,OR,Quango
3322,Owings Mills,Maryland,Baltimore,12866816,strategic-factory,Advertising & Marketing,106,3322,44204,1,99.2773,35,5,MD,Strategic Factory
3324,Tempe,Arizona,Phoenix,18666680,bluemedia,Advertising & Marketing,125,3324,5645,8,99.255,46,5,AZ,bluemedia
3337,Santa Monica,California,Los Angeles,5713565,redbird,Advertising & Marketing,24,3336,44208,1,98.8058,2,5,CA,Redbird
3346,Boston,Massachusetts,Boston,9114017,small-army,Advertising & Marketing,30,3345,44212,1,98.4566,6,5,MA,Small Army
3365,Houston,Texas,Houston,5503103,chief-outsiders,Advertising & Marketing,46,3364,24976,3,97.7499,22,5,TX,Chief Outsiders
3430,New York,New York,New York City,23528065,mediabrix,Advertising & Marketing,67,3429,37103,2,94.6872,9,5,NY,MediaBrix
3438,New York,New York,New York City,62236598,b-reel,Advertising & Marketing,170,3437,44239,1,94.2441,9,5,NY,B-Reel
3451,Chapel Hill,North Carolina,"Durham-Chapel Hill, NC",7304969,3-birds-marketing,Advertising & Marketing,90,3450,37550,2,93.7926,56,5,NC,3 Birds Marketing
3477,Washington,District of Columbia,"Washington, DC",8678182,avalon-consulting-group,Advertising & Marketing,35,3476,44244,1,91.9457,3,5,DC,Avalon Consulting Group
3486,Sterling,Virginia,"Washington, DC",28913741,media-prowler,Advertising & Marketing,83,3485,20859,5,91.4791,3,5,VA,Media Prowler
3487,Escondido,California,San Diego,7880476,dynamicard-plastic-postcards-analytics,Advertising & Marketing,9,3486,24329,4,91.4567,11,5,CA,DynamiCard Plastic Postcards & Analytics
3498,Aurora,Illinois,Chicago,36269000,quality-logo-products,Advertising & Marketing,92,3497,4938,6,90.6296,17,5,IL,Quality Logo Products
3511,Atlanta,Georgia,Atlanta,13112278,the-list,Advertising & Marketing,69,3510,1646,4,90.0616,29,5,GA,The List
3535,Overland Park,Kansas,"Kansas City, MO-KS",9604608,go-local,Advertising & Marketing,39,3534,44256,1,89.3473,21,5,KS,Go Local
3547,Newburyport,Massachusetts,Boston,5200000,creative-community-connections,Advertising & Marketing,14,3546,44259,1,89.0909,6,5,MA,Creative Community Connections
3551,El Segundo,California,Los Angeles,19225615,wpromote,Advertising & Marketing,175,3550,1990,8,89.0326,2,5,CA,Wpromote
