,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,state_s,company
2378,Wakefield,Rhode Island,"Providence-New Bedford-Fall River, RI-MA",4087943,oneill-consulting-group,Human Resources,17,2394,26218,158.2505,2,RI,O'Neill Consulting Group
2379,San Bernardino,California,"Riverside-San Bernardino-Ontario, CA",7567916,symons-ambulance,Health,250,2395,21408,158.1921,4,CA,Symons Ambulance
2380,Austin,Texas,Austin,12888810,affinipay,Financial Services,41,2396,21562,158.0626,4,TX,AffiniPay
2381,Lancaster,Pennsylvania,"Lancaster, PA",47491000,primitives-by-kathy,Consumer Products & Services,98,2397,21944,157.935,2,PA,Primitives by Kathy
2382,Tampa,Florida,Tampa,7175648,corporate-computer-solutions,IT Services,80,2398,26447,157.8917,2,FL,Corporate Computer Solutions
2383,Berkeley Heights,New Jersey,New York City,20084431,axis-group,IT Services,75,2399,4659,157.789,8,NJ,Axis Group
2384,Herndon,Virginia,"Washington, DC",9377645,vista-applied-solutions-group,IT Services,102,2400,25805,157.7894,2,VA,Vista Applied Solutions Group
2385,Dallas,Texas,Dallas,84769024,truconnect,Telecommunications,135,2401,37717,157.7252,1,TX,TruConnect
2386,Boston,Massachusetts,Boston,3001340,g2-technology-group,IT Services,15,2402,37718,157.7142,1,MA,G2 Technology Group
2387,San Francisco,California,San Francisco,160720224,pacific-union-real-estate,Real Estate,83,2403,24219,157.5103,3,CA,Pacific Union Real Estate
2388,Novato,California,San Francisco,96624634,merrimak-capital-company,Financial Services,22,2404,18962,157.2481,2,CA,Merrimak Capital Company
2389,Vienna,Virginia,"Washington, DC",167312000,alarmcom,Security,437,2405,37719,157.1696,1,VA,ALARM.COM
2390,La Jolla,California,San Diego,5763610,rei-marketing,Real Estate,18,2406,37720,156.902,1,CA,REI Marketing
2391,Rosemont,Illinois,Chicago,17042000,fullerton-engineering-consultants,Telecommunications,129,2407,37721,156.6953,1,IL,Fullerton Engineering Consultants
2392,Louisville,Kentucky,"Louisville/Jefferson, KY-IN",6762228,prosoft,Software,90,2408,26052,156.6794,2,KY,Prosoft
2393,Indianapolis,Indiana,"Indianapolis, IN",41207420,smartit,IT Services,420,2409,4946,156.6007,4,IN,SmartIT
2394,Boston,Massachusetts,Boston,275717812,beacon-hill-staffing-group,Human Resources,411,2410,1998,156.4991,8,MA,Beacon Hill Staffing Group
2395,New York,New York,New York City,80137000,bluewolf,Business Products & Services,422,2411,2234,156.381,9,NY,Bluewolf
2396,Brooklyn,New York,New York City,2800000,uhuru-design,Manufacturing,35,2412,37722,156.1757,1,NY,Uhuru Design
2397,Overland Park,Kansas,"Kansas City, MO-KS",46254160,propharma-group,Health,331,2413,25895,156.1093,2,KS,ProPharma Group
2398,Temecula,California,"Riverside-San Bernardino-Ontario, CA",21598710,reliant-foodservice,Food & Beverage,39,2414,22078,156.0262,4,CA,Reliant Foodservice
2399,Greenville,South Carolina,"Greenville-Mauldin-Easley, SC",2767234,palmetto-technology-group,IT Services,18,2415,37723,155.9817,1,SC,Palmetto Technology Group
2400,Excelsior,Minnesota,Minneapolis,2021333,nordicclick-interactive,Advertising & Marketing,16,2416,24881,155.9719,2,MN,NordicClick Interactive
2401,Lexington Park,Maryland,"Lexington Park, MD",23615999,avian,Government Services,129,2417,17430,155.9597,6,MD,AVIAN
2402,Boca Raton,Florida,Miami,10145096,citytwist,Advertising & Marketing,105,2418,18025,155.8265,5,FL,Citytwist
2403,Inkster,Michigan,Detroit,3075000,the-greener-side,Environmental Services,30,2419,37724,155.6171,1,MI,The Greener Side
2404,Arlington,Virginia,"Washington, DC",14809888,arc-aspicio,Government Services,55,2420,864,155.5715,7,VA,Arc Aspicio
2405,Boston,Massachusetts,Boston,4365098,writeraccess,Business Products & Services,14,2421,26278,155.3571,2,MA,WriterAccess
2406,Sunnyvale,California,San Jose,7040183,multicoreware,Software,180,2422,25606,155.1919,2,CA,Multicoreware
2407,Reston,Virginia,"Washington, DC",8742304,asec2,Government Services,35,2423,37725,155.0802,1,VA,ASEC2
2408,Washington,District of Columbia,"Washington, DC",19966485,apprio,Government Services,185,2424,21509,154.9303,4,DC,Apprio
2409,Farwell,Minnesota,"Alexandria, MN",4512000,lakes-area-graphix-and-signworx,Advertising & Marketing,32,2425,37726,154.9153,1,MN,Lakes Area Graphix and Signworx
