,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
809,809,Saratoga Springs,New York,"Albany-Schenectady-Troy, NY",9539893,fingerpaint,Advertising & Marketing,67,815,23391,1,554.544,146,5,NY,Fingerpaint
816,816,Culver City,California,Los Angeles,4276256,dash-two,Advertising & Marketing,8,822,23393,1,547.382,2,5,CA,Dash Two
821,821,Brooklyn Park,Minnesota,Minneapolis,2074000,proforma-powerhouse-solutions,Advertising & Marketing,3,827,23397,1,544.0994,13,5,MN,Proforma Powerhouse Solutions
823,823,Saratoga,California,San Jose,4050187,stage-4-solutions,Advertising & Marketing,31,829,21924,2,540.674,20,5,CA,Stage 4 Solutions
824,824,New York,New York,New York City,6565000,launchpad-advertising,Advertising & Marketing,40,830,21281,2,540.4878,9,5,NY,Launchpad Advertising
833,833,Kaukauna,Wisconsin,"Green Bay, WI",4096485,exclusivecpa,Advertising & Marketing,5,839,23403,1,533.1859,282,5,WI,ExclusiveCPA
843,843,Kansas City,Missouri,"Kansas City, MO-KS",7127803,meers-advertising,Advertising & Marketing,22,849,19941,3,524.9805,21,5,MO,Meers Advertising
858,858,Mohnton,Pennsylvania,"Lancaster, PA",5386091,mail-shark,Advertising & Marketing,25,864,21234,2,517.8495,305,5,PA,Mail Shark
868,868,Chicago,Illinois,Chicago,2105616,no-limit-agency,Advertising & Marketing,21,874,23415,1,508.2203,17,5,IL,No Limit Agency
889,889,New York,New York,New York City,8694000,optimatic-media,Advertising & Marketing,8,896,23427,1,496.7056,9,5,NY,Optimatic Media
891,891,Duluth,Minnesota,"Duluth, MN-WI",4161447,aimclear,Advertising & Marketing,23,898,21296,2,493.5783,343,5,MN,Aimclear
892,892,Miami,Florida,Miami,73225897,ims---internet-media-services,Advertising & Marketing,129,899,23428,1,492.8118,1,5,FL,IMS - Internet Media Services
893,893,Akron,Ohio,"Akron, OH",2098192,outerbox-solutions,Advertising & Marketing,30,900,21316,2,492.2111,34,5,OH,OuterBox Solutions
916,916,Evanston,Illinois,Chicago,16286885,l2tmedia,Advertising & Marketing,37,923,21478,2,474.9037,17,5,IL,L2TMedia
918,918,Sellersburg,Indiana,"Louisville/Jefferson County, KY-IN",2109512,day-online-solutions,Advertising & Marketing,2,925,21106,2,472.4871,630,5,IN,Day Online Solutions
921,921,Pasadena,California,Los Angeles,23947240,ratespecial-interactive,Advertising & Marketing,35,928,20981,2,469.4704,2,5,CA,RateSpecial Interactive
951,951,San Jose,California,San Jose,2111594,tanis-communications,Advertising & Marketing,7,958,23451,1,452.7342,20,5,CA,Tanis Communications
952,952,Chicago,Illinois,Chicago,2048351,punchkick-interactive,Advertising & Marketing,27,959,23452,1,452.2874,17,5,IL,Punchkick Interactive
963,963,Emeryville,California,San Francisco,7695630,webmarketing123,Advertising & Marketing,34,970,21275,2,444.9171,4,5,CA,WebMarketing123
