,AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
191,Hacker Group* [Interpublic],Seattle,3993600,-4.0,Hacker Group* ,Interpublic
192,Switch,St. Louis,3980000,22.1,Switch,Independent
193,"Butler, Shine, Stern & Partners","Sausalito, Calif.",3978000,15.0,"Butler, Shine, Stern & Partners",Independent
194,JWT Inside* [WPP],New York,3970000,2.6,JWT Inside* ,WPP
195,Barkley,"Kansas City, Mo.",3952100,7.6,Barkley,Independent
196,Droga5,New York,3950000,40.6,Droga5,Independent
197,RLM Finsbury* [WPP],New York,3930000,0.8,RLM Finsbury* ,WPP
198,CDMiConnect* [Omnicom],New York,3900000,,CDMiConnect* ,Omnicom
199,Engauge,"Columbus, Ohio",3895800,8.8,Engauge,Independent
200,"Venables, Bell & Partners",San Francisco,3887900,29.8,"Venables, Bell & Partners",Independent
201,Mars Advertising,"Southfield, Mich.",3867200,3.8,Mars Advertising,Independent
202,SMG Performance Marketing* [Publicis],New York,3829500,3.5,SMG Performance Marketing* ,Publicis
203,Resolution Media* [Omnicom],Chicago,3804200,21.0,Resolution Media* ,Omnicom
204,E-Graphics Worldwide* [Omnicom],"Long Beach, Calif.",3774000,2.0,E-Graphics Worldwide* ,Omnicom
205,HL Group* [MDC Partners],New York,3761800,26.0,HL Group* ,MDC Partners
206,Definition 6,Atlanta,3760900,3.4,Definition 6,Independent
207,Ackerman McQueen,Oklahoma City,3759000,27.7,Ackerman McQueen,Independent
208,Marc USA,Pittsburgh,3720000,15.8,Marc USA,Independent
209,Bader Rutter & Associates,"Brookfield, Wis.",3702800,12.8,Bader Rutter & Associates,Independent
210,ICR,"Norwalk, Conn.",3655400,14.1,ICR,Independent
211,Grizzard Communications Group* [Omnicom],Atlanta,3643500,5.3,Grizzard Communications Group* ,Omnicom
212,Anderson Direct Marketing,"Poway, Calif.",3636100,39.8,Anderson Direct Marketing,Independent
213,Dachis Group*,"Austin, Texas",3626000,14.5,Dachis Group*,Independent
214,A.B. Data,Milwaukee,3612900,38.4,A.B. Data,Independent
215,Spark SMG* [Publicis],Chicago,3595800,7.7,Spark SMG* ,Publicis
216,Marketing Werks,Chicago,3592000,1.9,Marketing Werks,Independent
217,Eric Mower & Associates,"Syracuse, N.Y.",3539700,4.6,Eric Mower & Associates,Independent
218,Allen & Gerritsen,Boston,3536300,11.0,Allen & Gerritsen,Independent
219,BGT Partners,"Hallandale Beach, Fla.",3500000,4.3,BGT Partners,Independent
220,Team Epic* [Dentsu],"Norwalk, Conn.",3480000,4.8,Team Epic* ,Dentsu
221,Allied Integrated Marketing,"Cambridge, Mass.",3470400,16.2,Allied Integrated Marketing,Independent
222,Pop* [Advance Publications],Seattle,3440800,34.5,Pop* ,Advance Publications
223,Saatchi & Saatchi X* [Publicis],"Springdale, Ark.",3420100,1.5,Saatchi & Saatchi X* ,Publicis
224,Mother New York [Mother Holdings],New York,3400000,4.0,Mother New York ,Mother Holdings
225,Ruder Finn [Ruder Finn Group],New York,3370400,-10.8,Ruder Finn ,Ruder Finn Group
226,David & Goliath*,"El Segundo, Calif.",3355700,16.1,David & Goliath*,Independent
227,Anomaly* [MDC Partners],New York,3355000,85.4,Anomaly* ,MDC Partners
228,Colle & McVoy* [MDC Partners],Minneapolis,3329400,13.4,Colle & McVoy* ,MDC Partners
229,Source Marketing* [MDC Partners],"Norwalk, Conn.",3310000,22.0,Source Marketing* ,MDC Partners
230,Digitaria* [WPP],San Diego,3300000,37.5,Digitaria* ,WPP
