AGENCY-COMPANY,HEADQUARTERS,2011-REVENUE,% CHG
Osborn & Barr,St. Louis,23648,10.4
LatinWorks* [Omnicom],"Austin, Texas",23600,6.5
rEvolution,Chicago,23500,38.2
CCG Marketing Solutions,"West Caldwell, N.J.",23427,-2
Conill* [Publicis],"Torrance, Calif.",23258,18
Magnani Caruso Dutton,New York,23250,23.3
Vitro* [MDC Partners],San Diego,23100,NA
Finn Partners [Ruder Finn Group],New York,23063,NA
Amp Agency,Boston,23059,7.8
Eveo Communications Group,San Francisco,23000,-16.4
Just Marketing International*,"Zionsville, Ind.",23000,4.1
Burrell Communications Group* [Publicis],Chicago,23000,3.6
T3,"Austin, Texas",22990,-12.1
Definition 6,Atlanta,22858,NA
Empower MediaMarketing*,Cincinnati,22750,0
Doremus* [Omnicom],New York,22200,11
Eleven,San Francisco,22073,1.3
Fahlgren Mortine,"Columbus, Ohio",21929,8.7
Blue State Digital* [WPP],New York,21858,1.9
Creative Alliance*,"Louisville, Ky.",21785,-9.8
Rockfish* [WPP],"Rogers, Ark.",21760,54.3
Agency212*,New York,21500,0
Covario,San Diego,21321,75.7
Element 79* [Omnicom],Chicago,21307,-9.2
Communefx* [MDC Partners],"Cranberry Township, Pa.",21275,40.2
Intermark Group,"Birmingham, Ala.",21212,7.1
Sterling-Rice Group,"Boulder, Colo.",21052,-4
Kern Organization* [Omnicom],"Woodland Hills, Calif.",21000,9.2
Upshot,Chicago,20950,1.5
Marquette Group,"Peoria, Ill.",20920,NA
Regan Communications [Regan Communications Group],Boston,20824,7
GA Communication Group,Chicago,20800,-1.9
Cone Communications* [Omnicom],Boston,20501,10
Cooney/Waters Group [Creston],New York,20433,45
Avrett Free Ginsberg* [Interpublic],New York,20300,1.8
Fitzgerald & Co.* [Interpublic],Atlanta,20100,2.3
180 Amsterdam/180LA* [Omnicom],"Amsterdam/Santa Monica, Calif.",20000,43.4
JWT Action* [WPP],"Akron, Ohio",20000,3.1
Biolumina* [Omnicom],New York,20000,NA
Razorfish Health* [Publicis],Philadelphia,20000,11.1
Images USA*,Atlanta,19830,3.3
Adcom Group,Cleveland,19700,12.6
Fitch* [WPP],"Columbus, Ohio",19665,42.5
Allison & Partners* [MDC Partners],San Francisco,19400,25.2
Nurun* [Quebecor Media's Nurun],Montreal,19307,27.3
Dudnyk Exchange*,"Horsham, Pa.",19125,2.3
Taylor Global,New York,19100,-1
Partners & Napier [Project WorldWide],"Rochester, N.Y.",19100,3.2
UniWorld Group* [WPP],"Brooklyn, N.Y.",19000,-10.3
Go* [Omnicom],New York,19000,0
LLNS* [Omnicom],New York,19000,-5.9
Zubi Advertising Services,"Coral Gables, Fla.",18900,2.2
FKM,Houston,18799,-11.2
HealthEd,"Clark, N.J.",18750,-16.2
TargetCast* [MDC Partners],New York,18600,2.9
Legacy Marketing Partners [RiverNorth Group (KB Holdings)],Chicago,18439,1.9
Tapestry* [Publicis],Chicago,18400,8.3
Publicis & Hal Riney* [Publicis],San Francisco,18360,0
Gage,Minneapolis,18300,22
Moosylvania,St. Louis,18252,10.7
Text 100 [Next Fifteen Communications Group],New York,18212,25.6
Kobie Marketing,"St. Petersburg, Fla.",18150,29.2
Digitaria* [WPP],San Diego,18000,7.1
OutCast Agency [Next Fifteen Communications Group],San Francisco,18000,20
Global Advertising Strategies,New York,18000,28.6
Laird & Partners* [MDC Partners],New York,18000,13.2
Brand Union* [WPP],New York,17922,5.4
Peter A. Mayer Advertising,New Orleans,17921,16.2
Padilla Speer Beardsley,Minneapolis,17836,4.5
Coyne Public Relations,"Parsippany, N.J.",17800,10.9
Biggs Gilmore,"Kalamazoo, Mich.",17730,29.5
Dentsu America* [Dentsu],New York,17647,-3.6
Cadient Group,"King of Prussia, Pa.",17600,8
Ignited,"El Segundo, Calif.",17500,-1.9
SK&G*,Las Vegas,17500,-2.5
Space150,Minneapolis,17225,7.5
Alma DDB* [Omnicom],Miami,17180,-9.8
Barbarian Group [Cheil Worldwide],New York,17161,12.2
Spark Communications* [Publicis],Chicago,17160,30
McCormick Co.,"Amarillo, Texas",17136,2.2
Giant,San Francisco,17019,32.7
Luckie & Co.,"Birmingham, Ala.",17000,13.3
Designkitchen* [WPP],Chicago,17000,44.8
Bozell,"Omaha, Neb.",16800,38.8
Marketing Support,Chicago,16609,14
De la Cruz Group,"Guaynabo, P.R.",16594,5.6
Sigma Group,"Oradell, N.J.",16500,10
MV42* [Publicis],New York,16500,25
Direct Partners* [Omnicom],"Marina del Rey, Calif.",16400,-1.4
Flashpoint Medica* [Omnicom],New York,16400,9.3
Kang & Lee Advertising* [WPP],New York,16380,5
Sawtooth,"Woodbridge, N.J.",16325,0.8
MMB*,Boston,16200,12.5
Greater Than One,New York,16100,9.2
Factory Design Labs,Denver,16037,-19.7
Heartbeat Ideas,New York,16032,11.3
Firstborn* [Dentsu],New York,16000,28
Empathy Lab,"Conshohocken, Pa.",16000,33.3
Mekanism,San Francisco,16000,45.5
Blitz Agency,"Santa Monica, Calif.",16000,36.8
Translation*,New York,15750,50
Reprise Media* [Interpublic],New York,15719,4.8
Della Femina/Rothschild/Jeary & Partners*,New York,15691,-2.5
HY Connect,Chicago,15573,13.8
Grupo Gallegos,"Huntington Beach, Calif.",15500,6.9
Schafer Condon Carter,Chicago,15474,8.8
Carol H. Williams Advertising,"Emeryville, Calif.",15410,-13.5
Buntin Group,"Nashville, Tenn.",15400,-7.8
Tris3ct,Chicago,15376,50.8
LehmanMillet* [HealthStar Communications],Boston,15300,10.9
Vidal Partnership*,New York,15300,-29.2
Via Agency,"Portland, Maine",15299,30.2
Power Creative,"Louisville, Ky.",15239,9.4
Marcus Thomas,Cleveland,15027,11.7
Evolution Bureau* [Omnicom],San Francisco,15000,50
TBC,Baltimore,15000,-2.8
Arnell Group* [Omnicom],New York,15000,0
Berlin Cameron United* [WPP],New York,14850,-1
Pereira & O'Dell [Grupo ABC],San Francisco,14800,8.8
Mastermind Marketing,Atlanta,14800,23.8
GlobalWorks Group,New York,14750,3.9
Gibbs & Soell*,New York,14706,-5.1
Riester,Phoenix,14502,9.5
Noble*,"Springfield, Mo.",14375,-4.2
Peppercom,New York,14362,21.4
Roberts & Langer DDB* [Omnicom],New York,14287,53.6
Sanders/Wingo,"El Paso, Texas",14220,-5.9
Capstrat,"Raleigh, N.C.",14200,20.3
La Comunidad,Miami,14200,59.6
Wing* [WPP],New York,14145,50
M Booth [Next Fifteen Communications Group],New York,14099,22.1
Duncan Channon,San Francisco,14000,7.7
Rivet* [Interpublic],Chicago,14000,0
Northlich*,Cincinnati,14000,-2.5
Profero,New York,14000,122.2
Zeno Group [Daniel J. Edelman],New York,13926,11.7
Swanson Russell,"Lincoln, Neb.",13764,13.8
French/West/Vaughan,"Raleigh, N.C.",13700,2.2
Tierney* [Interpublic],Philadelphia,13559,4.3
Emanate* [Omnicom],New York,13500,15.4
SBC Advertising,"Columbus, Ohio",13481,-2.5
R2integrated,Baltimore,13386,46
Cheil Worldwide,New York,13247,-19.6
AdAsia Communications*,"Englewood Cliffs, N.J.",13242,12.6
Didit,"Mineola, N.Y.",13238,8.3
Fathom,"Valley View, Ohio",13130,17.5
RJ Palmer* [MDC Partners],New York,13074,2.9
LeadDog Marketing Group,New York,13010,39.5
Williams Labadie* [Publicis],Chicago,13000,13
Fame* [Omnicom],Minneapolis,13000,22.6
Saatchi & Saatchi Science* [Publicis],"Yardley, Pa.",13000,18.2
Oneupweb,"Traverse City, Mich.",13000,0
Rodgers Townsend* [Omnicom],St. Louis,12972,-8.1
Concentric Pharma* [MDC Partners],New York,12857,7.1
Sullivan Higdon & Sink,"Wichita, Kan.",12831,8.3
McGarrah Jessee,"Austin, Texas",12775,32.9
GKV,Baltimore,12700,3.3
Hanson,"Maumee, Ohio",12700,0
Totem Brand Stories,New York,12662,30.2
Prime Access*,New York,12600,-15.4
Ron Foth Advertising,"Columbus, Ohio",12565,1.9
Walton Isaacson,Los Angeles,12500,25
Makovsky & Co.,New York,12500,10.6
Lockard & Wechsler,"Irvington, N.Y.",12458,-6.3
5W Public Relations,New York,12455,9.3
RF Binder Partners [Ruder Finn Group],New York,12450,1.1
Adams & Knight,"Avon, Conn.",12429,17
Atrinsic Interactive*,New York,12259,-3.7
Connelly Partners,Boston,12215,14.2
Liquid Agency,"San Jose, Calif.",12182,14.9
Shift Communications,"Newton, Mass.",12136,22
Godfrey,"Lancaster, Pa.",12100,16.3
Grafica,"Chester, N.J.",12100,8
Hunter Public Relations,New York,12050,-5.9
American Communications Group*,"Torrance, Calif.",12013,5.4
Lapiz USA* [Publicis],Chicago,12000,9.1
Redscout* [MDC Partners],New York,12000,48.1
RevHealth,"Morristown, N.J.",12000,20
Lippe Taylor*,New York,12000,0
Proof Integrated Communications* [WPP],New York,12000,0
Hitchcock Fleming & Associates*,"Akron, Ohio",11937,0
Casanova Pendrill* [Interpublic],"Costa Mesa, Calif.",11880,8
GlynnDevins Advertising & Marketing,"Overland Park, Kan.",11856,5.3
O2 Ideas,"Birmingham, Ala.",11775,3.5
CRT/Tanaka,"Richmond, Va.",11573,4.4
Archer Malmo,"Memphis, Tenn.",11540,-1.6
PBJS* [Publicis],Seattle,11449,6.7
Sigma Marketing Group,"Rochester, N.Y.",11431,1.9
Cranford Johnson Robinson Woods*,"Little Rock, Ark.",11427,-0.5
Agency 720* [Omnicom],"Troy, Mich.",11340,NA
Hanley Wood Marketing,Minneapolis,11306,-6
Hoffman/Lewis,San Francisco,11218,-23
DMW Direct,"Chesterbrook, Pa.",11200,7.2
Camelot Strategic Marketing & Media,Dallas,11100,1.8
M&C Saatchi,London,11062,173.4
Catalyst,"Rochester, N.Y.",11031,20.4
Iris [Iris Worldwide],New York,11029,14.9
Genuine Interactive,Boston,11000,10
AR New York*,New York,11000,10
The Gate Worldwide* [MSQ Partners],New York,11000,4.8
PJA Advertising & Marketing,"Cambridge, Mass.",10940,-3.8
Callahan Creek,"Lawrence, Kan.",10902,12.3
Hirons & Co.,Indianapolis,10851,-7.1
Sloane & Co.* [MDC Partners],New York,10800,0
BeCore,Los Angeles,10790,32.4
Acento Advertising,Los Angeles,10789,0.8
Admerasia,New York,10750,10.3
Slingshot*,Dallas,10663,3.4
Threshold Interactive,"Culver City, Calif.",10638,5.4
Attik* [Dentsu],San Francisco,10600,-18.5
Relevent* [MDC Partners],New York,10600,11.6
Stephenz Group,"San Jose, Calif.",10568,-15.4
Bromley Communications* [Publicis],San Antonio,10514,-1
Deep Focus [Engine Group],New York,10502,3
Bailey Lauerman,"Lincoln, Neb.",10501,7.3
Cole & Weber United* [WPP],Seattle,10500,16.7
Palisades Media Group*,"Santa Monica, Calif.",10400,11.8
Natrel Communications,"Parsippany, N.J.",10398,-30.2
SparkPR,San Francisco,10396,20
FKQ Advertising & Marketing,"Clearwater, Fla.",10360,3.7
Trozzolo Communications Group,"Kansas City, Mo.",10339,8.2
Clarity Coverdale Fury,Minneapolis,10300,4
Stamats,"Cedar Rapids, Iowa",10212,-1.3
206 Inc.,Seattle,10096,14.7
Sullivan,New York,10076,43.4
Black Twig Communications*,St. Louis,10040,27.7
Kaplow*,New York,10024,6.6
Boathouse Group,"Waltham, Mass.",10000,-9.1
Siltanen & Partners Advertising,"El Segundo, Calif.",10000,17.6
IW Group* [Interpublic],"West Hollywood, Calif.",9957,-12.7
Blitz,"Waltham, Mass.",9864,13
Mono* [MDC Partners],Minneapolis,9830,22.9
Response Mine Interactive,Atlanta,9809,38.2
Roberts Communications,"Rochester, N.Y.",9782,-13.5
Borshoff*,Indianapolis,9770,11.1
Castells & Asociados,Los Angeles,9737,20.7
FullSix [FullSix Group],"Levallois-Perret, Paris",9731,25
IQ*,Atlanta,9700,-0.3
InterTrend Communications,"Long Beach, Calif.",9600,-1
Questus,San Francisco,9600,37.1
Phelps Group,"Santa Monica, Calif.",9506,5.8
Marlin Network,"Springfield, Mo.",9497,7.2
DGWB Advertising & Communications,"Santa Ana, Calif.",9400,-2.1
Strategic America,"West Des Moines, Iowa",9363,7.7
Elias/Savion Advertising,Pittsburgh,9154,-43.7
Anthology Marketing Group,Honolulu,9112,-11.8
MicroMass Communications,"Cary, N.C.",9100,7.1
Seiden Group,New York,9100,1.1
Pedone & Partners,New York,9000,12.5
Big Spaceship,"Brooklyn, N.Y.",9000,9.8
Machado Garcia Serra,Miami,8970,-17.6
Proof Advertising,"Austin, Texas",8966,8.9
St. John & Partners Advertising & PR,"Jacksonville, Fla.",8935,-22.9
Lewis Communications,"Mobile, Ala.",8903,-13.9
"Howard, Merrell & Partners*","Raleigh, N.C.",8835,-6.6
Charleston/Orwig,"Hartland, Wis.",8816,16.1
Davies,"Santa Barbara, Calif.",8767,5.3
Source Communications,"Hackensack, N.J.",8755,8.4
"Aloysius, Butler & Clark","Wilmington, Del.",8751,5.7
Accentmarketing* [Interpublic],"Coral Gables, Fla.",8708,-9.2
Sundog,"Fargo, N.D.",8670,42.1
LM&O Advertising,"Arlington, Va.",8656,-3.6
RedPeg Marketing,"Alexandria, Va.",8519,56.3
Gelia,"Williamsville, N.Y.",8502,27
GS&F,"Nashville, Tenn.",8500,4.9
Premium Surge Promotions* [RiverNorth Group (KB Holdings)],Chicago,8500,-5.1
Fuseideas,"Winchester, Mass.",8500,88.9
Nelson Schmidt,Milwaukee,8400,16.7
SocialChorus,New York,8400,86.7
Sarkissian Mason*,New York,8333,-16.7
Vladimir Jones,"Colorado Springs, Colo.",8328,7.4
Radarworks,Los Angeles,8300,7.8
Garrigan Lyman Group*,Seattle,8200,0
E.B. Lane,Phoenix,8200,9.3
Republica,Miami,8200,36.7
CDR Fundraising Group*,"Bowie, Md.",8198,-9.7
Gravity Media,New York,8165,140.1
Neiman Group,Philadelphia,8162,-14.1
Fuse,St. Louis,8155,-2.5
Airfoil Public Relations,"Southfield, Mich.",8128,19.3
Gardner Nelson & Partners,New York,8100,-12.9
Strikeforce Communications,New York,8000,33.3
Marden-Kane,"Garden City, N.Y.",7947,31.2
HCB Health,"Austin, Texas",7938,44.3
