AGENCY [PARENT],2015 US REVENUE,% CHG
Ansira,124041,7.9
Meredith Xcelerated Marketing [Meredith Corp.],124000,-5.3
Proximity* [Omnicom],123449,3
Golin* [Interpublic],123401,7.9
OMG Entertainment & Sports* [Omnicom],123066,25
Trailer Park [Engine Group],123000,7
Jack Morton Worldwide* [Interpublic],122180,-3.3
Ogilvy Public Relations* [WPP],121000,4.9
Critical Mass* [Omnicom],121000,17.5
GHG/GreyHealth Group* [WPP],120000,10
Gyro*,117000,2.6
KBS* [MDC Partners],115154,11
Digitas Health LifeBrands* [Publicis],115000,0
RPA,113000,7.6
CDM New York* [Omnicom],112326,10
Moxie* [Publicis],110247,-8.9
Assembly* [MDC Partners],110175,12
Initiative* [Interpublic],109721,5
Klick,109152,8.1
McCann Health* [Interpublic],108624,14.1
TBWA/WorldHealth* [Omnicom],108078,-1.1
Isobar* [Dentsu],107010,23
Campbell Ewald* [Interpublic],103767,-8.5
Sudler & Hennessey* [WPP],103430,6.6
Arnold Worldwide* [Havas],102500,7.9
Intouch Solutions,101765,32.5
"Goodby, Silverstein & Partners* [Omnicom]",99607,-8.3
Harrison & Star* [Omnicom],96684,8.5
Cohn & Wolfe* [WPP],96423,16.3
TracyLocke* [Omnicom],96252,0.7
Doner* [MDC Partners],95475,-8.6
PHD* [Omnicom],95340,0
iProspect* [Dentsu],94726,-2
Derse*,94478,2.5
Team One* [Publicis],92466,14
Huntsworth Health* [Huntsworth],92065,24.1
TMP Worldwide Advertising & Communications,91816,6.1
Innocean Worldwide,91270,4.6
Group360 Worldwide*,90000,12.5
W2O Group,88468,16.9
Brunswick Group*,88250,25
EPAM Systems,85754,15.9
Javelin Marketing Group* [Omnicom],85450,6.7
Wasserman Media Group*,85280,19.6
Targetbase* [Omnicom],84117,0.7
MRY* [Publicis],84000,-16
GSD&M* [Omnicom],83050,-1
Spark* [Publicis],82777,17.6
Global Experience Specialists* [Viad Corp.],82520,-0.5
Mirum* [WPP],82251,9.7
Porter Novelli* [Omnicom],81893,-0.6
MKTG* [Dentsu],81615,10
WE Communications,80044,-8.6
Landor* [WPP],80000,3.7
Blast Radius* [WPP],79943,4.5
Resolution Media* [Omnicom],78412,30.3
22squared,76646,2
Periscope,74380,7
VSA Partners,73769,-7.6
Ivie & Associates,72809,26
SourceLink,72800,9
AbelsonTaylor,72092,13.2
Merkley & Partners* [Omnicom],71000,6.2
OMG Outdoor Media Group* [Omnicom],70102,8.1
HelloWorld*,70000,0
Optimedia International U.S.* [Publicis],69791,12.8
FTI Consulting (Strategic Communications)*,67828,5.6
SMG Performance Marketing* [Publicis],67038,11.8
Finn Partners,66634,5.5
Apco Worldwide,66152,-4.2
DDB Health/DDB Remedy* [Omnicom],66037,8.5
Marketing Store,65897,14.6
Team* [MDC Partners],65000,0
Tribal Worldwide* [Omnicom],64900,9.1
PMK-BNC* [Interpublic],63503,15.5
PureRed,63153,15.9
Anomaly* [MDC Partners],62343,21
Glover Park Group* [WPP],61934,0
Saatchi & Saatchi Wellness* [Publicis],61905,19
Moroch Partners,61519,11.6
Neo@Ogilvy* [WPP],61164,19.4
Acronym,60850,21.2
Siegel & Gale* [Omnicom],59504,19
Performics* [Publicis],58460,20
Code and Theory,58000,NA
Allen & Gerritsen,57436,0
CDMiConnect* [Omnicom],56591,12.1
Rauxa,56460,-5.3
ICR,56209,10.8
Havas PR* [Havas],55800,NA
Mars Agency,55009,1.4
Rockfish* [WPP],55000,41
Deep Focus [Engine Group],54783,19.2
MWWPR*,54000,0.9
Marketing Werks*,53976,-11.1
Barkley,53790,15.6
Fusion Marketing,53600,7.2
TPN* [Omnicom],53370,7.8
Sard Verbinnen & Co.*,51830,8.9
Healthcare Consultancy Group* [Omnicom],51232,5.7
Essence* [WPP],50903,32.2
Paradysz & PM Digital,50202,9.5
Brierley & Partners*,50000,11.1
Publicis Life Brands Medicus* [Publicis],50000,0
Impact XM,49620,6.9
GMMB* [Omnicom],49500,-10
R&R Partners,49040,-0.3
Russ Reid Co.* [Omnicom],48784,0.7
Ackerman McQueen,48074,2.5
Carmichael Lynch* [Interpublic],47783,8.5
DKC,46950,13.1
Ruder Finn*,46400,0.1
R2C Group,45800,3.5
M&C Saatchi,45333,81.3
Publicis Health Media* [Publicis],45000,50
Kobie Marketing,45000,77.6
Media Storm*,44506,0
U.S. International Media*,44036,0.9
GlobalHue*,43946,-13.5
Sandbox Group,43876,18.7
Allied Integrated Marketing*,43741,7.9
Magna Global* [Interpublic],43734,15
Vizeum* [Dentsu],43312,45
Pepperjam,42300,NA
BVK,42250,10
Ayzenberg Group,42050,31.4
The Bloc,41726,-8.1
Didit,41478,32.5
Marc USA [Eastport Holdings],41207,-5.1
Allison & Partners* [MDC Partners],41000,29.2
Sparks*,40872,4.2
EG+ Worldwide* [Omnicom],40597,0.7
Finsbury* [WPP],40000,0.8
CMI/Compas*,39552,32.3
Greater Than One,39200,35
HackerAgency* [Interpublic],38792,4.2
FutureBrand* [Interpublic],38534,13.3
Colle & McVoy* [MDC Partners],38500,1.3
Discovery USA* [Publicis],38000,0
Big Fuel Communications* [Publicis],37553,2.4
David & Goliath,37400,11.3
Bartle Bogle Hegarty* [Publicis],37246,0
Razorfish Health* [Publicis],37000,-7.5
Mercury Media*,36380,0
McKinney [Cheil Worldwide],36200,6.8
CMD,36148,10.6
Venables Bell & Partners,36000,-7.7
Eric Mower & Associates,35791,-1.3
PadillaCRT,35670,7.4
Anderson Direct & Digital,35608,4.7
Marina Maher Communications* [Omnicom],35512,0.6
Cramer,35500,36.5
AgencyRx* [Omnicom],35499,-23.7
Zeno Group [DJE Holdings],35421,25.2
Knock,35274,13.3
Doremus* [Omnicom],35231,3.4
Saatchi & Saatchi X* [Publicis],35022,2.4
Swirl*,35000,16.1
Mother New York [Mother Holdings],35000,6.1
Kinetic* [WPP],34805,2.5
MCD Partners [M&C Saatchi],34750,6.9
Bader Rutter & Associates,34668,-3.2
Concentric Health Experience* [MDC Partners],34660,43.1
MMGY Global,34493,6.2
Matomy* [Matomy Media Group],34232,3.5
Grizzard Communications Group* [Omnicom],33975,0
Bernstein-Rein Advertising,33867,-9.7
R2integrated,33654,18.4
Wire Stone,33500,14.2
BFG Communications,33453,-18.5
Lopez Negrete Communications,33438,-21
Brodeur Partners*,33354,0
Translation*,33169,-8.7
Giant Creative Strategy,33000,-29.8
Laughlin Constable,32900,15.4
Conill* [Publicis],32853,-4.8
Fallon* [Publicis],32852,5
Lewis,32845,17.7
Adcom Group,32811,-7.1
180 Amsterdam/180LA* [Omnicom],32724,15
Alma* [Omnicom],32677,15
Tukaiz,32563,-24
CDM Princeton* [Omnicom],31422,0
Davis Elen Advertising,31297,3.2
Fahlgren Mortine,31189,5.1
CCG Marketing Solutions*,31000,0
Healthwork* [Omnicom],31000,NA
Orion Holdings* [Interpublic],30392,2
Pop* [Advance Publications],30364,-8.5
Bravo Group* [WPP],30270,-5.4
Grayling* [Huntsworth],30251,-19.8
T3,30204,-0.6
Mekanism,30193,20
LatinWorks* [Omnicom],30119,-16.4
WongDoody,30000,0
Heartbeat Ideas* [Publicis],30000,50
ID Media* [Interpublic],29960,7
Blue State Digital* [WPP],29856,6.6
Fitch* [WPP],29599,6.6
Firstborn* [Dentsu],29535,1
Eleven,29305,-3.9
Women's Marketing,29000,NA
Pereira & O'Dell,29000,20.8
Elite SEM*,28500,39.7
A.B. Data,28462,5
RevHealth,28000,21.7
Jellyfish,28000,150
Martin Williams* [Omnicom],27604,3
"Butler, Shine, Stern & Partners",27573,-2.3
Text 100 [Next Fifteen Communications Group],27511,10.7
Coyne Public Relations,27000,17.3
BrunnerWorks,27000,-7.2
Access Emanate Communications* [Omnicom],26976,1.8
Adelphi Group* [Omnicom],26930,8.5
Jackson Marketing Group*,26600,-2.4
OutCast Agency [Next Fifteen Communications Group],26000,4
Carrot Creative*,26000,60.8
M Booth [Next Fifteen Communications Group],25546,35.5
Red Interactive Agency*,25531,17.4
Dieste* [Omnicom],25500,20
Cadient*,25500,0
Revolution,25350,12
Switch*,25251,-10.6
Empower MediaMarketing,25000,0
Biolumina* [Omnicom],25000,0
Grupo Gallegos,25000,-3.8
Vitro* [MDC Partners],24900,3.3
Regan Communications Group*,24547,-3.6
Guild,24500,8.9
Alcone Marketing* [Omnicom],24257,-4.1
MicroMass Communications,24200,4.3
DiD,24000,50
Tapestry* [Publicis],23838,-5.7
Dailey* [Interpublic],23633,-8.8
Closerlook*,23600,10.3
Kern* [Omnicom],23488,5
The Search Agency*,23288,8
John McNeil Studio,23249,5.4
Walton Isaacson,23218,10.4
Racepoint Global,23120,12.5
Argonaut [Project WorldWide],23000,109.1
Fuseideas,23000,2.7
Inter/Media Advertising*,22900,3.2
Connelly Partners,22841,6
Barbarian Group [Cheil Worldwide],22821,4.8
EVB*,22545,0
Space150,22378,46.5
Taylor,22348,3
Entree Health New York* [Omnicom],22217,2
Avrett Free Ginsberg* [Interpublic],22199,0
Upshot,22000,-7.2
Work & Co.,22000,73.2
LMO Advertising,21973,48.5
Laird & Partners* [MDC Partners],21927,0
Gravity Media,21909,-1.6
Stamats,21895,3.6
Archer Malmo,21800,-5.6
Scoppechio*,21792,0.3
MV42* [Publicis],21659,-3.5
Legacy Marketing,21657,-0.4
Casanova Pendrill* [Interpublic],21500,22.9
5W Public Relations,21467,13.2
MMB*,21441,-10
Fingerpaint,21268,4.5
Tierney* [Interpublic],21100,8.5
Sigma Group*,21000,0
Slingshot Companies*,21000,NA
GlynnDevins Advertising & Marketing,20996,6.7
Mastermind Involvement Marketing,20750,6.4
Schafer Condon Carter,20721,4.8
Sterling-Rice Group,20700,17.6
Hunter Public Relations* [MDC Partners],20675,2.1
Shift Communications,20433,10.8
Via Agency,20400,-14.5
Roberts & Langer DDB* [Omnicom],20213,-3.1
Mono* [MDC Partners],20077,52.9
Big Spaceship,20000,33.3
Source* [MDC Partners],20000,-20
Flashpoint Medica* [Omnicom],19989,0
Fitzgerald & Co.* [Interpublic],19942,23.5
Cone Communications* [Omnicom],19694,-0.6
Tombras Group,19600,24.8
Rise Interactive,19323,38.7
Frank Agency,19300,4.1
Osborn Barr,19239,-13.5
Agency 720* [Omnicom],19228,4
Wpromote,19226,10.6
Underground Elephant*,19200,19.5
Adams & Knight,19193,-3
Zubi Advertising Services,19000,0.5
Fathom,19000,2.4
Peppercomm,18790,10.8
Roundhouse*,18700,38.5
Duncan/Channon,18500,12.8
LiveArea,18473,18.5
McGarrah Jessee,18472,0.4
Burrell Communications Group* [Publicis],18427,1.4
Crossmedia*,18315,17.9
Rodgers Townsend* [Omnicom],18000,0
HL Group* [MDC Partners],17668,-2.5
Direct Partners* [Omnicom],17597,0.7
Elias/Savion Advertising,17593,12
Natrel*,17439,23.3
SparkPR*,17425,0
LeadDog Marketing Group,17396,-11.3
TM Advertising* [Interpublic],17394,0
Serino/Coyne* [Omnicom],17328,-1.5
Sullivan Higdon & Sink,17253,7.4
Camelot Strategic Marketing & Media,17205,27.4
Risdall Marketing Group*,17117,-4.6
Cole & Weber* [WPP],17100,50
Omelet,17000,-38.4
Mitchell Communications Group* [Dentsu],16955,1.6
Muhtayzik Hoffer,16838,53.7
Sullivan,16723,2.6
HY Connect,16717,31.4
Gatesman & Dave,16643,21.3
Trisect,16620,-14.5
SBC Advertising [Eastport Holdings],16578,17.3
Riester,16552,-11.7
Pitch [Project WorldWide],16500,1.9
Iconmobile* [WPP],16500,20.4
BKV,16500,7.1
PMG,16500,73
H&L Partners,16455,-3.8
Genuine* [Interpublic],16343,18.2
Trozzolo Communications Group,16213,3.2
Y Media Labs* [MDC Partners],16200,80
Republica,16200,11.7
Sanders/Wingo,16180,-5
Palisades Media Group*,16138,12.7
Godfrey Q,16100,-8
Marcus Thomas,16083,-22.8
Gelia,16074,15.9
The Community* [Publicis],16043,21.8
Converseon*,16000,10.3
Partners & Napier [Project WorldWide],16000,0
Eveo*,16000,0
TBC,15950,3.6
KHJ Brand Activation,15850,3.9
Beeby Clark & Meyler,15700,12.1
GKV,15698,-4.2
Brand Union* [WPP],15658,10.4
AdAsia Communications,15609,-4.8
LaunchSquad,15580,19.7
Chandelier Creative*,15577,3.8
Imagination,15356,3.6
SSCG Media Group* [Omnicom],15294,10
Sundog,15237,-5.6
Zambezi,15080,-10.8
Carol H. Williams Advertising,15069,9.6
Berlin Cameron* [WPP],15000,0
Luckie & Co.*,15000,0
Sequence*,14974,17.2
Lapiz* [Publicis],14971,11.5
Rasky Baerlein Strategic Communications,14854,4.4
Butler/Till Media and Communications,14800,34.5
Sawtooth,14750,-2
Makovsky,14650,1
IMRE,14560,8.6
UniWorld Group* [WPP],14527,-11.2
Mx Group,14516,-5
LaneTerralever,14500,3.6
Mortenson Safar Kim,14432,34.2
Amusement Park*,14430,4
Traction,14300,30
Lippe Taylor*,14288,1.3
Intermark Group,14242,1.1
Stream Companies,14110,20.2
Response Mine Interactive,14098,25.1
Cooney/Waters Unlimited [Creston],14021,-9.2
HCB Health*,14000,0
Rain Agency,14000,9.4
Relevent* [MDC Partners],14000,0
Power Agency,13947,-5.4
True North,13935,12
Woodruff Sweitzer,13900,11.2
Icuc Social* [Dentsu],13872,2
Rokkan* [Publicis],13870,2.4
MullenLowe Profero* [Interpublic],13857,30
JPL,13794,-4.5
Citizen Relations [BlueFocus Communication Group],13749,-15.9
Beauty at Gotham* [Interpublic],13701,-36.4
Phelps,13639,3.5
Lockard & Wechsler Direct,13610,-2.9
Oneupweb,13500,12.5
David Stark Design & Production,13500,31.1
Callahan Creek,13483,5.8
Iris Worldwide [Cheil Worldwide],13481,-20.5
Buntin Group,13460,-4.9
Modco Group,13340,1.9
Stern Advertising*,13330,4.9
St. John & Partners,13302,26.6
Doe-Anderson,13277,17.6
Ologie,13207,8.4
Hanley Wood Marketing,13181,-0.5
O'Keefe Reinhard & Paul,13000,209.5
Definition 6*,13000,0
Liquid Agency,12988,-23.3
Johannes Leonardo* [WPP],12961,20.9
Nelson Schmidt,12954,-0.1
Bodden Partners,12910,-1.4
Posterscope* [Dentsu],12800,0
Boathouse Group,12750,1.2
Company of Others,12700,-4.5
RF Binder Partners,12700,0.8
Proof Advertising,12572,11.6
Broadstreet Productions,12489,7.8
Wednesday* [Omnicom],12418,50.2
Terri & Sandy,12300,66.2
Tenthwave Digital,12269,-8.4
Marca Miami [Eastport Holdings],12221,-0.3
Strategic America,12217,5.3
FKQ Advertising & Marketing,12152,14.4
DMW Direct,12127,-12
InVNT [Time Inc.],12109,12
Planit,12009,34.3
Clarity Coverdale Fury,12000,0
Yamamoto* [MDC Partners],12000,50
PJA Advertising & Marketing,12000,-7.7
Sensis,11936,31.7
Cardenas Marketing Network,11908,NA
Southwest Media Group* [Eastport Holdings],11750,13
IW Group* [Interpublic],11639,3
Seiden Group,11600,22.8
Michael Walters Advertising*,11571,0
Hook Studio,11500,0
De la Cruz Group,11436,12
Hunt Adkins,11310,2
Fuse,11265,2.3
Hanson*,11250,-5.9
Ab&c Creative Intelligence,11240,2.2
Fetch* [Dentsu],11070,21.4
Anthology Marketing Group,11059,-0.9
Hiebing,11019,6.9
Communica,11000,0
Fly Communications,11000,4.8
Cibo Global,11000,22.2
Triple Threat Communications,11000,4.8
InterTrend Communications,11000,6.8
Bohan Advertising,10967,2.8
Godfrey,10925,-0.3
Hawthorne Direct,10891,29.1
Push,10800,-9
Lewis Communications*,10769,2.6
PM3,10682,18.7
Cardinal Path* [Dentsu],10667,44.6
Interlex Communications,10535,112.6
Camp & King,10500,23.5
Admerasia,10500,-4.5
Current Marketing* [Interpublic],10500,1.9
Kaplow Communications*,10444,-3.9
Hello Design* [MDC Partners],10268,21.4
Team Epiphany,10182,42.1
Somnio,10114,96.6
Crosby,10055,-3.7
Axis Agency* [Interpublic],10039,-0.4
TDW & Co.,10015,31.8
Luquire George Andrews,10006,6.8
Noble Communications,10000,-2.9
Magnetic Collaborative,10000,31.6
Kastner & Partners,10000,25
Siltanen & Partners,10000,0
BPN* [Interpublic],9924,6.2
Ymarketing,9875,24.5
Mindgruve*,9754,1.4
Chemistry,9640,-1.6
GreenRubino,9610,24.4
D Exposito & Partners,9607,1.6
Sub Rosa*,9572,-17.4
PriceWeber Marketing Communications,9503,20.4
Pollinate,9500,6.7
Mythic*,9473,3.3
Hart,9374,15.7
Larry John Wright,9360,67.1
Zehnder Communications,9324,-2.1
Peter A. Mayer Advertising,9292,-56.5
iStrategyLabs,9210,39
Zocalo Group* [Omnicom],9201,0
Northlich*,9200,0
Muse,9170,17.6
Martino Flynn,9108,9.7
Dynamit,9000,55.2
Noble People,9000,125
Triptent,9000,50
Brighton Agency,8979,-23.3
Revana Digital,8875,-32.9
Badger & Winters,8737,-26
Simple Truth,8704,-5.2
Strikeforce Communications,8700,4.8
SMZ,8700,-1.1
Acento Advertising,8667,0.2
Bateman Group,8643,28.9
Bayshore Solutions,8638,1.9
Beyond Marketing Group,8612,0
Taxi* [WPP],8579,31.9
PulseCX*,8571,-4.8
Moveo,8567,5.2
Daniel Brian Advertising,8532,27.3
Digital Pulp,8500,2.4
Catalyst,8500,0
Arke Systems,8470,4.7
DWA,8462,64.1
Kovel/Fuller*,8391,-1.3
Stein IAS,8316,17.1
Springbox,8312,44.3
People Ideas & Culture,8300,188.8
AHA,8300,2.5
Source Communications*,8262,0
Aaaza,8250,25
Syzygy* [WPP],8240,114.4
Nemo Design*,8200,32.3
Media Horizons,8074,8.4
Vladimir Jones,8029,-8.6
Launchpad Advertising,8000,0
Karsh Hagan,7978,4.2
Marden-Kane Digital Promotions,7975,-3
Roberts Communications,7946,10.5
Next Marketing,7937,-10
Rx Mosaic Health* [Omnicom],7920,8.5
Kwittken* [MDC Partners],7900,14.5
LevLane*,7800,14.4
Madwell,7753,68.8
Preston Kelly,7750,3.3
Curiosity,7740,29.9
Charleston/Orwig,7711,-10.4
Slack & Co.*,7700,0.6
TaCito Direct,7697,-10.4
Babcock Jenkins,7600,-33.3
Nail Communications,7564,22
New Honor Society* [Interpublic],7534,5
Downtown Partners* [Omnicom],7500,-10
Bozell*,7500,0
Gregory FCA,7500,10.3
EGC Group,7500,0
Questus,7500,-28.6
One North Interactive*,7491,11.6
Threespot,7471,2.1
BusinessOnline,7464,2.4
Baker Street Advertising*,7413,4
Mirrorball,7400,15.6
Pavone Marketing Group,7307,5.9
Rabinovici & Associates,7297,23.7
Bandy Carroll Hellige,7295,12.2
Farm,7290,13.9
Chempetitive Group,7251,34.2
Adrenaline,7244,11.4
Cactus,7216,8.9
Airfoil Group*,7200,0.4
Stone Ward,7122,0
DNA Seattle,7060,1.4
Struck,7057,-4.5
Brooklyn Brothers* [Interpublic],7000,-1.4
Solve,7000,29.6
Orci,7000,16.7
Walker Sands,6917,51.8
Lloyd & Co.*,6900,-8
Borshoff,6871,-13.7
Wing* [WPP],6849,-18.2
Safari Sundays*,6796,22.5
Lopito Ileana & Howie,6791,5.5
Advantage International* [Interpublic],6735,4.6
Kelliher Samets Volk,6700,12.6
Mortar*,6686,0
CDM Los Angeles* [Omnicom],6685,-18.6
Barker Advertising and Interactive,6644,10.2
Three Deep,6644,2.5
Ansible* [Interpublic],6628,12
Media Logic,6620,6.1
MBLM Advertising*,6593,-7.1
White64,6575,6
PanCom International*,6560,9.5
Dodge Communications,6555,8.1
Apollo Interactive,6500,-3.7
The Variable,6436,98.1
MediaMorphosis,6383,-4.2
Red Square Agency,6375,2.2
Dae Advertising,6360,24.2
Battery,6300,425
M/C/C,6202,1.7
StudioNorth,6100,10.9
Liquid Interactive,6014,21.2
Copacino & Fujikado,6000,5.7
Sprocket Media,6000,-50
Standard Time,6000,100
Modern Climate,6000,-37.3
Luxe Collective Group,6000,20
Cashman & Katz Integrated Communications,5985,2
Shine United,5950,4.4
Full Contact,5800,16
TDA Boulder,5780,18.4
Chernoff Newman,5757,-1.1
Communications Strategy Group*,5757,8.5
Sockeye,5750,5.6
Mintz & Hoke,5735,-6.5
Public Communications,5724,-5
Portent*,5700,0
Imaginuity Interactive,5700,6.5
Spawn Ideas,5696,-2.6
GRP Media,5650,7.6
Centigrade,5650,-34.3
LRXD,5617,26.2
Footsteps* [Omnicom],5583,-14.3
CooperKatz & Co.,5581,16.5
Renavatio Healthcare Communications,5580,-4.6
L3 Advertising,5500,37.5
Alinean*,5500,-8.3
NFusion,5465,-25
Wexley School for Girls,5429,10.2
Ink,5333,7.6
BeCore,5326,36.6
Stephan & Brady,5309,0.9
Extractable,5300,29.4
2e Creative,5294,50
Entree Health Princeton* [Omnicom],5244,20
O2 Ideas,5225,-59.5
Mediasmith*,5215,13.3
San Jose Group,5201,-8.6
Milici Valenti Ng Pack,5182,-28.8
ES Advertising,5174,-25
Allscope Direct,5173,48.1
Firehouse,5140,9.6
Love Communications*,5131,-1.1
Cheil Worldwide,5086,-11.9
Two by Four,5041,-1.5
We Are Social* [BlueFocus Communication Group],5011,5.3
Brokaw,5008,-12
Bruce Clay,5004,-8
Fame,5000,-9.1
Latin3,5000,0
Aventria Health Group*,5000,NA
Maier Advertising,5000,0
Quiet Light Communications*,5000,0
Nomadic Agency,5000,19
Magnani Continuum Marketing,4950,5.3
Small Army,4915,14.3
CBD Marketing,4900,16.7
OBI Creative,4860,-17
GdB (Gabriel deGrood Bendt),4800,20
Richards/Carlberg,4800,14
AgencyQ,4785,8.9
Linhart Public Relations,4725,-1.9
LatinMedios.com,4664,52
Baldwin&,4600,2.2
RP3 Agency,4600,-14.8
Hanapin Marketing,4599,8.7
RockOrange,4594,3.7
Pinta,4550,40
Oden,4514,-7.2
Bensimon Byrne,4508,47.3
Fixation Marketing*,4500,20
L.C. Williams & Associates*,4500,-4.6
Turkel Brands,4500,-23.7
Sandstorm Design,4450,4.7
BFO,4448,5.9
Masterminds,4418,-14.1
Moses,4375,28.7
SMM Advertising,4358,-3
New & Improved Media*,4329,14.7
Catalyst Inc.,4310,-13.2
Mason*,4222,5.6
Relevant24* [Publicis],4202,2.4
Ergo Interactive,4200,40
BarrettSF,4200,16.7
Symmetri Marketing Group,4200,10.1
90octane,4186,0.6
ADK America [Asatsu-DK],4172,22.4
Trepoint,4153,-6.2
Schermer,4130,-7.8
Go Local Interactive,4122,30.6
Catalyst Marketing Co.,4102,5.9
AlPunto Advertising,4100,0
Grok,4100,28.1
Della Femina Advertising,4100,20.6
"Tom, Dick & Harry Creative Co.",4100,2.2
Hirons & Co.,4100,-6
Escape Pod,4100,7.9
Joule* [WPP],4079,4
Krause Advertising*,4070,2.8
Mint Advertising,4059,0
Weintraub Advertising,4000,0
GarrandPartners,4000,-5.1
Spike DDB* [Omnicom],4000,0
Hoffman Agency,4000,-1.1
Gold N Fish Marketing Group,3960,6.1
JeffreyGroup,3952,25.6
DDW,3900,50
Civilian* [MDC Partners],3896,6
Trigger,3800,-15.6
Backe Digital Brand Marketing,3766,2.8
Henson Consulting,3709,35.4
Distillery Project,3675,13.4
Miller Brooks,3632,-9.1
Ready Set Rocket,3618,-9.8
BrandingBusiness,3606,-3.3
EventNext,3600,33.3
Unique Influence* [MDC Partners],3600,50
Crossbow Group,3575,4.4
R/P Marketing Public Relations,3564,-1.2
HMH,3508,-19.2
JumboShrimp,3500,0
Goldin Solutions*,3500,16.7
KZSW Advertising,3500,6.1
Jones Advertising,3500,25
Meers Advertising,3495,18.6
Tiziani Whitmyre,3486,1.8
Coates Kokes,3475,33
Plan C Agency*,3445,0
Richter7*,3429,-14.3
Red House,3400,6.3
Innis Maggiore Group,3398,-12.4
Littlefield,3395,-12.6
Cerrell Associates,3354,19.2
BoomAgers*,3330,0
AdFarm,3315,1.9
Fraser Communications*,3300,-10.8
Manifold,3300,32
Walz Tetrick Advertising*,3280,0
Hispanic Group,3242,-1.3
Matlock Advertising & Public Relations,3234,9
BlackWing Creative,3200,-22.5
Grenadier*,3200,39.1
M45 Marketing Services*,3172,2.1
MDB Communications,3164,-1
ER Marketing*,3100,6.3
White Rhino Productions,3050,14.9
Grady Britton,3032,17.8
Celtic Chicago,3002,35.5
AY Digital,3000,-42.3
Again Interactive,2983,-5.6
Davis Harrison Dion,2976,5.6
Sudden Impact Marketing,2954,-24.7
Nemer Fieger*,2934,0
Trumpet,2855,2.2
Launch Agency,2850,9.6
Remerinc,2833,0
Elemento L2,2800,-20
Science Project*,2763,25
Axial*,2717,11.3
Glass Agency,2700,3.8
Renegade,2700,3.8
