AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG
Brunner,Pittsburgh,"32,000",2.4
Laughlin Constable,Milwaukee,"31,750",6.4
McKinney [Cheil Worldwide],"Durham, N.C.","31,609",-15.5
Mercury Media,"Santa Monica, Calif.","31,563",16.3
Quigley-Simpson,Los Angeles,"31,511",4.5
Global Advertising Strategies,New York,"31,500",18.9
Marina Maher Communications* [Omnicom],New York,"31,350",4.5
BVK,Milwaukee,"31,300",-2.8
Brodeur Partners*,Boston,"30,600",NA
Covario*,San Diego,"30,451",30.8
Kinetic* [WPP],London,"30,300",4.8
Davis Elen Advertising,Los Angeles,"30,187",3.3
Cramer,"Norwood, Mass.","30,000",3.4
Razorfish Healthware* [Publicis],New York,"30,000",15.4
Translation,New York,"30,000",57.9
Star Group*,"Voorhees, N.J.","29,989",25.3
Doremus* [Omnicom],New York,"29,970",25
LatinWorks* [Omnicom],"Austin, Texas","29,655",25.7
Qorvis Communications*,Washington,"29,500",0
Iostudio,"Nashville, Tenn.","29,400",7.8
Rockfish* [WPP],"Rogers, Ark.","$29,376 ",35
Inter/Media Advertising*,"Woodland Hills, Calif.","29,198",12.3
Amp Agency,Boston,"29,048",26
Lopez Negrete Communications,Houston,"29,017",2.7
RTC* [WPP],Washington,"29,000",11.5
Martin Williams* [Omnicom],Minneapolis,"28,875",0
Ayzenberg Group,"Pasadena, Calif.","28,800",14.7
FutureBrand* [Interpublic],London,"28,500",9.6
SK&G,Las Vegas,"28,100",NA
Enlighten,"Ann Arbor, Mich.","28,000",12
CMD,"Portland, Ore.","27,218",0.4
BKV,"Overland Park, Kan.","27,200",-0.7
Lunchbox* [WPP],Los Angeles,"27,000",NA
WDCW,Seattle,"27,000",8
Fusion Marketing,St. Louis,"26,900",24
T3,"Austin, Texas","26,729",16.3
Conill* [Publicis],"Torrance, Calif.","26,663",14.6
Finn Partners [Ruder Finn Group],New York,"26,546",15.1
Fitch* [WPP],"Columbus, Ohio","26,351",34
MMGY Global,"Kansas City, Mo.","26,172",0.7
CMI/Compas,"King of Prussia, Pa.","26,000",0
Dudnyk Exchange*,"Horsham, Pa.","26,000",6.1
Adcom Group,Cleveland,"25,944",25.7
Giant,San Francisco,"25,900",44.7
Alcone Marketing* [Omnicom],"Irvine, Calif.","25,874",4.1
CCG Marketing Solutions*,"West Caldwell, N.J.","25,760",10
Heartbeat Ideas,New York,"25,349",58.1
Dailey* [Interpublic],"West Hollywood, Calif.","25,300",10
Gotham* [Interpublic],New York,"25,200",-10
Wire Stone,San Francisco,"25,200",1.8
Allison & Partners* [MDC Partners],San Francisco,"25,021",29
Discovery Chicago* [Publicis],Chicago,"25,000",92.3
Integrated Media Solutions* [MDC Partners],New York,"24,750",-19.6
Osborn Barr,St. Louis,"24,500",3.6
Magnani Caruso Dutton,New York,"24,500",5.4
Empower MediaMarketing*,Cincinnati,"24,115",6
CDM Princeton* [Omnicom],"Princeton, N.J.","24,000",NA
Peter A. Mayer Advertising,New Orleans,"23,926",33.5
Big Fuel* [Publicis],New York,"23,860",-14.8
KSL Media*,New York,"23,680",5.2
Berry Network Digital Advertising*,"Dayton, Ohio","23,500",NA
Vitro* [MDC Partners],San Diego,"23,212",NA
Blue State Digital* [WPP],New York,"23,169",6
Fahlgren Mortine,"Columbus, Ohio","23,001",4.9
Burrell Communications Group* [Publicis],Chicago,"23,000",0
Designkitchen* [WPP],Chicago,"23,000",35.3
Just Marketing International*,"Zionsville, Ind.","23,000",0
TM Advertising* [Interpublic],Dallas,"22,962",-3.5
Eleven,San Francisco,"22,944",3.9
Regan Communications [Regan Communications Group],Boston,"22,906",10
GA Communication Group,Chicago,"22,900",10.1
Upshot,Chicago,"22,800",8.8
Macquarium Intelligent Communications*,Atlanta,"22,514",-22
Biolumina* [Omnicom],New York,"22,500",12.5
Eveo,San Francisco,"22,000",-2.2
180 Amsterdam/180LA* [Omnicom],"Amsterdam/Santa Monica, Calif.","21,500",7.5
Marquette Group,"Peoria, Ill.","21,391",2.3
Kern Organization* [Omnicom],"Woodland Hills, Calif.","21,336",1.6
Barbarian Group [Cheil Worldwide],New York,"21,177",23.4
Didit,"Mineola, N.Y.","21,100",NA
Profero,New York,"21,000",8.2
Zeno Group [DJE Holdings],New York,"20,799",48.1
