AGENCY-COMPANY,HEADQUARTERS,2013-REVENUE,% CHG
FCB Health* [Interpublic],New York,145428,9
Integer Group* [Omnicom ],"Lakewood, Colo.",145289,3
Hill&Knowlton Strategies* [WPP],New York,140500,-7.8
Horizon Media*,New York,140250,10
Interbrand* [Omnicom ],New York,140000,9.4
George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",138709,-6.7
Acquity Group* [Part of Accenture Interactive],Chicago,138027,-2.1
AKQA* [WPP],San Francisco,138000,20
VML* [WPP],"Kansas City, Mo.",136831,5.7
The Agency Inside [Harte-Hanks],"Yardley, Pa.",136753,-2.3
Ogilvy CommonHealth Worldwide* [WPP],"Parsippany, N.J.",136500,2.3
Catapult* [Alliance Data Systems Corp.],"Westport, Conn.",133552,3.5
Match Marketing Group,"Mississauga, Ontario, Canada",131208,10
Mullen* [Interpublic],Boston,129514,8.5
360i* [Dentsu],New York,129000,11.2
Meredith Xcelerated Marketing [Meredith Corp.],New York,128000,-10.5
GMR Marketing* [Omnicom ],"New Berlin, Wis.",127500,2
Deloitte Digital* [Deloitte],Seattle,126400,8.7
Huge* [Interpublic],"Brooklyn, N.Y.",126000,32.6
Organic* [Omnicom ],San Francisco,124599,1.3
Zimmerman Advertising* [Omnicom ],"Fort Lauderdale, Fla.",121705,1
Jack Morton Worldwide* [Interpublic],Boston,121475,7.5
Ogilvy Public Relations* [WPP],New York,121300,-7.4
Moxie* [Publicis ],Atlanta,121000,9.7
Lowe Campbell Ewald* [Interpublic],Detroit,121000,0
"Goodby, Silverstein & Partners* [Omnicom ]",San Francisco,120629,-29
UM* [Interpublic],New York,120364,2.5
Martin Agency* [Interpublic],"Richmond, Va.",119850,-15
Proximity* [Omnicom ],New York,114029,2.5
Gyro*,New York,110000,4.8
Marketing Arm* [Omnicom ],Dallas,109954,3
McCann Health* [Interpublic],New York,108000,8
CDM New York* [Omnicom ],New York,108000,8
GolinHarris* [Interpublic],Chicago,107843,6.5
Octagon* [Interpublic],"Norwalk, Conn.",107541,10.5
Goodness Mfg./Trailer Park,Los Angeles,105000,6.6
Initiative* [Interpublic],New York,103919,10
KBS+* [MDC Partners],New York,103519,13
Possible* [WPP],Seattle,103500,15
TracyLocke* [Omnicom ],Dallas,103326,1.3
Arnold Worldwide* [Havas],Boston,102000,-9
RPA,"Santa Monica, Calif.",101000,-20.5
MRY* [Publicis ],New York,101000,7.4
Digitas Health* [Publicis ],Philadelphia,100000,NA
Sudler & Hennessey* [WPP],New York,99274,6.7
Waggener Edstrom Communications,"Bellevue, Wash.",98270,-3
OMG Entertainment & Sports* [Omnicom ],New York,93765,11.5
Havas Media Group* [Havas],"Puteaux, France/New York",93600,9.5
Olson,Minneapolis,93545,5.4
Ansira,St. Louis,93434,4.8
McMurry/TMG,New York,93000,1.8
GHG* [WPP],New York,91602,12.8
Doner* [MDC Partners],"Southfield, Mich.",91206,1.3
Momentum Worldwide* [Interpublic],New York,91000,-3
Critical Mass* [Omnicom ],Chicago,91000,-2.2
PHD* [Omnicom ],London/New York,88985,5
Isobar* [Dentsu],London/Chicago,88561,-5.2
TMP Worldwide Advertising & Communications [TMP Worldwide],New York,87292,3.4
Derse*,Milwaukee,86891,11.5
72andSunny* [MDC Partners],"Playa Vista, Calif.",86617,72
MSL Group* [Publicis ],Paris,85763,5.2
Targetbase* [Omnicom ],"Irving, Texas",83503,1.3
Annalect* [Omnicom ],New York,82000,30
Landor Associates* [WPP],San Francisco,81000,0
Klick Health [Klick Inc.],Toronto,80732,29.3
Porter Novelli* [Omnicom ],New York,80357,-8.5
Brierley & Partners* [WPP],"Plano, Texas",78662,12.4
GSD&M* [Omnicom ],"Austin, Texas",78000,16.4
Maxus* [WPP],New York,77336,22.1
Apco Worldwide,Washington,76615,1.8
Cohn & Wolfe* [WPP],New York,76000,0
Blast Radius* [WPP],"Vancouver, B.C.",75000,0
VSA Partners,Chicago,74000,56.8
SourceLink,"Itasca, Ill.",73100,-2.7
Global Experience Specialists* [Viad Corp.],Las Vegas,73100,-9.8
MWW,New York,72139,NA
22squared,Atlanta,70025,5.1
W2O Group,San Francisco,69680,24.2
AbelsonTaylor,Chicago,69174,-7
Team One* [Publicis ],Los Angeles,68100,9
Intouch Solutions,"Overland Park, Kan.",67752,32.4
Periscope,Minneapolis,66485,14.9
HelloWorld,"Pleasant Ridge, Mich.",65300,0.2
Brunswick Group*,London,65200,15
Team Enterprises* [MDC Partners],"Fort Lauderdale, Fla.",65000,2.2
Group360 Worldwide*,St. Louis,65000,NA
CAHG* [Omnicom ],Chicago,64260,2
FTI Consulting (Strategic Communications),New York,63900,5.3
Huntsworth Health* [Huntsworth],"Yardley, Pa.",63375,6
Merkley & Partners* [Omnicom ],New York,63000,7.1
Javelin Marketing Group* [Omnicom ],New York,62500,20.2
VivaKi* [Publicis ],Chicago,62406,17.7
Harrison & Star* [Omnicom ],New York,62112,-1.2
Glover Park Group* [WPP],Washington,61934,0
OMG Outdoor Media Group* [Omnicom ],New York,61489,22
Optimedia International U.S.* [Publicis ],New York,61200,0
DDB Health/DDB Remedy* [Omnicom ],New York,61200,2
iProspect* [Dentsu],Boston,60785,-2.6
Moroch Partners,Dallas,60262,13.9
PureRed,"Stone Mountain, Ga.",58427,-0.4
Tribal Worldwide* [Omnicom ],New York,58149,1
Resource,"Columbus, Ohio",57010,-8
BFG Communications,"Bluffton, S.C.",56497,37.7
ICC Lowe* [Interpublic],"Parsippany, N.J.",56000,0
Pacific Communications,"Costa Mesa, Calif.",55917,4.5
Ivie & Associates,"Flower Mound, Texas",55164,10.6
GlobalHue*,"Southfield, Mich.",54816,-14.2
Allen & Gerritsen,Boston,54700,NA
Rauxa,"Costa Mesa, Calif.",54450,14.5
Droga5*,New York,54000,36.7
Parago,"Lewisville, Texas",53890,23.7
PlattForm Advertising,"Lenexa, Kan.",53798,30.2
SMG Performance Marketing* [Publicis ],New York,53538,14.9
Wasserman Media Group*,Los Angeles,53460,NA
Resolution Media* [Omnicom ],Chicago,52499,38
Spark* [Publicis ],Chicago,52140,45
AgencyRx* [Omnicom ],New York,51214,24.9
Saatchi & Saatchi Wellness* [Publicis ],New York,50000,-13.8
TPN* [Omnicom ],Dallas,50000,8.3
PMK-BNC* [Interpublic],"West Hollywood, Calif.",50000,18
Publicis Life Brands Medicus* [Publicis ],New York,50000,11.1
Mars Advertising,"Southfield, Mich.",49583,28.2
Marketing Store,Chicago,48928,9.2
R&R Partners,Las Vegas,48337,4
Healthcare Consultancy Group* [Omnicom ],New York,47500,0
CementBloc,New York,47025,13
Havas PR* [Havas],New York,46700,1.5
Performics* [Publicis ],Chicago,46529,15
Russ Reid Co.* [Omnicom ],"Pasadena, Calif.",45532,7.6
Siegel & Gale* [Omnicom ],New York,45490,-21.2
Neo@Ogilvy* [WPP],New York,44700,2.3
Sard Verbinnen & Co.*,New York,44400,9.9
Barkley,"Kansas City, Mo.",44174,11.8
U.S. International Media*,Los Angeles,43383,5.4
Anomaly* [MDC Partners],New York,43136,28.6
Finn Partners [Ruder Finn Group],New York,43119,2.3
Bernstein-Rein Advertising,"Kansas City, Mo.",42778,-0.6
R2C Group,"Portland, Ore.",42750,-8.2
ICR,"Norwalk, Conn.",42445,16.1
Switch*,St. Louis,42217,6.1
Paradysz,New York,42204,2.8
MKTG,New York,42012,1
Magna Global* [Interpublic],New York,41900,10
Carmichael Lynch* [Interpublic],Minneapolis,41790,5
Kekst & Co.* [Publicis ],New York,41660,3.3
Water Cooler Group*,"Norwalk, Conn.",41429,3.6
"Venables, Bell & Partners",San Francisco,41000,5.5
CDMiConnect* [Omnicom ],New York,40968,5
Hacker Group* [Interpublic],Seattle,40904,2.4
Ackerman McQueen,Oklahoma City,40641,8.1
Assembly* [MDC Partners],New York,40260,20
Campbell Mithun* [Interpublic],Minneapolis,39780,-10
Tukaiz*,"Franklin Park, Ill.",39775,7.5
JWT Inside* [WPP],New York,39700,0
RLM Finsbury* [WPP],New York/London,39693,1
EG+ Worldwide* [Omnicom ],"Long Beach, Calif.",39627,5
Grayling* [Huntsworth],London,39568,-6.5
Marc USA,Pittsburgh,39060,5
Fallon* [Publicis ],Minneapolis,38630,-4.6
David & Goliath*,"El Segundo, Calif.",38591,15
Anderson Direct & Digital,"Poway, Calif.",38158,4.9
Bader Rutter & Associates,"Brookfield, Wis.",38153,3
Fusion Marketing,St. Louis,38000,31
Discovery USA* [Publicis ],Chicago,38000,0
Ruder Finn [Ruder Finn Group],New York,37444,11.1
Colle & McVoy* [MDC Partners],Minneapolis,37000,12.5
Covario,San Diego,36974,21.4
Marketing Werks,Chicago,36660,2.1
DKC,New York,36500,11
Grizzard Communications Group* [Omnicom ],Atlanta,36435,0
LatinWorks* [Omnicom ],"Austin, Texas",36332,22.5
Allied Integrated Marketing,"Cambridge, Mass.",36316,4.6
Rockfish* [WPP],"Rogers, Ark.",36309,23.6
RTC* [WPP],Washington,36250,25
Star Group*,"Voorhees, N.J.",36051,20.2
Acronym,New York,36000,10.8
Eric Mower & Associates,"Syracuse, N.Y.",35477,0.2
Giant Creative/Strategy,San Francisco,35000,35.1
Richard Attias & Associates* [WPP],New York,35000,NA
Team Epic* [Dentsu],"Norwalk, Conn.",34800,0
Mercury Media*,"Santa Monica, Calif.",34642,9.8
Translation,New York,34500,15
Pop* [Advance Publications],Seattle,34408,0
Digitaria* [WPP],San Diego,34320,4
Saatchi & Saatchi X* [Publicis ],"Springdale, Ark.",34201,0
Inter/Media Advertising*,"Woodland Hills, Calif.",34064,16.7
BVK,Milwaukee,33800,8
Doremus* [Omnicom ],New York,33641,12.2
Lopez Negrete Communications,Houston,33500,15.4
Laughlin Constable,Milwaukee,32750,3.1
A.B. Data,Milwaukee,32700,-9.5
Bartle Bogle Hegarty* [Publicis ],London,32692,0
PadillaCRT,Minneapolis,32333,8.2
Marina Maher Communications* [Omnicom ],New York,32261,2.9
Qorvis MSL Group* [Publicis ],Washington,32103,8.8
Bravo Group* [WPP],Miami,32000,0
TBA Global*,New York,32000,NA
Mother New York [Mother Holdings],New York,32000,-5.9
FutureBrand* [Interpublic],London,31988,12.2
McKinney [Cheil Worldwide],"Durham, N.C.",31795,0.6
HL Group* [MDC Partners],New York,31363,-16.6
T3,"Austin, Texas",30860,15.5
Kinetic* [WPP],London,30603,1
Brodeur Partners*,Boston,30600,0
Ayzenberg Group,"Pasadena, Calif.",30500,5.9
Geary LSF Group,San Francisco,30455,-19.6
MMGY Global,"Kansas City, Mo.",30260,15.6
Code & Theory,New York,30000,53.8
Cramer,"Norwood, Mass.",30000,0
Conill* [Publicis ],"El Segundo, Calif.",29996,12.5
CMD,"Portland, Ore.",29962,10.1
Dieste* [Omnicom ],Dallas,29700,26.4
CCG Marketing Solutions*,"West Caldwell, N.J.",29600,14.9
Orion Holdings* [Interpublic],New York,29400,12
"Butler, Shine, Stern & Partners","Sausalito, Calif.",29347,-26.2
Adcom Group,Cleveland,29114,12.2
Brunner,Pittsburgh,29000,-9.4
WongDoody,Seattle,29000,7.4
Magnani Caruso Dutton,New York,28750,17.3
SK&G*,Las Vegas,28673,2
EPAM Empathy Lab,"Newtown, Pa.",28600,68.2
Martin Williams* [Omnicom ],Minneapolis,28153,-2.5
Zeno Group [DJE Holdings],New York,28135,35.3
Allison & Partners* [MDC Partners],San Francisco,28093,21.8
Lunchbox* [WPP],Los Angeles,28080,4
Source Marketing* [MDC Partners],"Norwalk, Conn.",28000,NA
Blue State Digital* [WPP],New York,28000,19.1
Fahlgren Mortine,"Columbus, Ohio",27955,8.8
Fitch* [WPP],London,27759,5.3
Davis Elen Advertising,Los Angeles,27662,-8.4
Berry Network Digital Advertising,"Dayton, Ohio",27000,14.9
Firstborn* [Dentsu],New York,27000,63.6
Dudnyk Exchange*,"Horsham, Pa.",27000,10.2
CDM Princeton* [Omnicom ],"Princeton, N.J.",26400,10
CMI/Compas*,"King of Prussia, Pa.",26368,1.4
Wire Stone,San Francisco,26300,4.4
Dailey* [Interpublic],"West Hollywood, Calif.",25913,2.4
Eleven,San Francisco,25726,12.1
Peter A. Mayer Advertising,New Orleans,25431,6.3
Alcone Marketing* [Omnicom ],"Irvine, Calif.",25303,-2.2
Matomy* [Matomy Media Group] 1,New York,25303,NA
Big Fuel* [Publicis ],New York,25292,6
Omelet,"Culver City, Calif.",25100,66.2
Jackson Marketing Group,"Greenville, S.C.",25000,4.2
Alma* [Omnicom ],Miami,25000,25.4
Publicis Health Media* [Publicis ],Philadelphia,25000,NA
Integrated Media Solutions* [MDC Partners],New York,24750,0
Adelphi Group* [Omnicom ],"New York/ Bollington, Cheshire, U.K.",24643,2
Tapestry* [Publicis ],Chicago,24190,18
Empower MediaMarketing*,Cincinnati,24115,0
French/West/Vaughan,"Raleigh, N.C.",24000,NA
Greater Than One,New York,23940,33.7
BKV,"Overland Park, Kan.",23700,-12.9
Gotham* [Interpublic],New York,23688,-6
Gage,Minneapolis,23600,15.7
180 Amsterdam/180LA* [Omnicom ],"Amsterdam/Santa Monica, Calif.",23397,8.8
Regan Communications Group*,Boston,23365,2
TM Advertising* [Interpublic],Dallas,23192,1
Didit,"Mineola, N.Y.",23062,9.3
Biolumina* [Omnicom ],New York,22950,2
Swirl,San Francisco,22579,40.5
Via Agency,"Portland, Maine",22500,25
Upshot,Chicago,22500,-1.3
GA Communication Group,Chicago,22500,-1.7
Gibbs & Soell*,New York,22490,14
Fuseideas,"Winchester, Mass.",22440,45
Gravity Media,New York,22277,NA
RKG,"Charlottesville, Va.",22268,47
Avrett Free Ginsberg* [Interpublic],New York,22199,2.3
Mekanism,San Francisco,22062,22.6
Enlighten,"Ann Arbor, Mich.",22000,-21.4
Lowe Profero* [Interpublic],New York,22000,4.8
Osborn Barr,St. Louis,21990,-10.2
Marquette Group,"Peoria, Ill.",21979,2.7
The Search Agency*,Los Angeles,21830,1.8
Entree Health* [Omnicom ],New York,21772,20
Nurun* [Quebecor Media],Montreal,21768,8.8
Kern* [Omnicom ],"Woodland Hills, Calif.",21613,1.3
Laird & Partners* [MDC Partners],New York,21577,12
Tris3ct,Chicago,21484,16.5
MMB*,Boston,21441,21.6
Taylor,New York,21100,6.6
IMG Consulting*,New York,21100,NA
Images USA,Atlanta,21000,16.7
Connelly Partners,Boston,21000,19.3
Vitro* [MDC Partners],San Diego,20900,5.2
HY Connect,Chicago,20824,9.8
Text 100 [Next Fifteen Communications Group],New York,20706,11.6
Cadient Group,"King of Prussia, Pa.",20500,25.8
Sterling-Rice Group,"Boulder, Colo.",20478,1.1
Company of Others,Houston,20333,1.8
La Comunidad* [Sapient Corp.],Miami,20100,27.2
Coyne Public Relations,"Parsippany, N.J.",20040,0.1
Roberts & Langer DDB* [Omnicom ],New York,20000,27.3
OutCast Agency [Next Fifteen Communications Group],San Francisco,20000,5.3
Razorfish Healthware* [Publicis ],New York,20000,NA
Pereira & O'Dell [Grupo ABC],San Francisco,20000,2.6
Flashpoint Medica* [Omnicom ],New York,19989,6
Cone Communications* [Omnicom ],Boston,19808,2.9
Blitz,"Santa Monica, Calif.",19796,23.3
EffectiveUI* [WPP],Denver,19559,3.5
Liquid Agency,"San Jose, Calif.",19556,-0.1
Creative Alliance,"Louisville, Ky.",19443,7.7
Burrell Communications Group* [Publicis ],Chicago,19435,-15.5
Walton Isaacson,"Culver City, Calif./Chicago",19401,14.3
MV42* [Publicis ],New York,19349,4.7
Serino/Coyne* [Omnicom ],New York,19303,1.3
Luckie & Co.,"Birmingham, Ala.",19300,20.6
Agency 720* [Omnicom ],Detroit,19061,8.9
Lewis PR,San Francisco,19000,NA
LLNS* [Omnicom ],New York,19000,17.3
Zubi Advertising Services,"Coral Gables, Fla.",19000,0
Red Interactive Agency*,"Santa Monica, Calif.",18963,13.9
Legacy Marketing Partners,Chicago,18920,12
Fingerpaint,"Saratoga Springs, N.Y.",18893,90.3
Revolution,Chicago,18860,-7.4
Shift Communications,"Newton, Mass.",18653,30.8
M&C Saatchi,London,18634,76.4
RevHealth*,"Morristown, N.J.",18538,18.6
Grupo Gallegos,"Huntington Beach, Calif.",18500,12.1
Sigma Group,"Upper Saddle River, N.J.",18500,4.5
Ignited,"El Segundo, Calif.",18500,2.8
Moosylvania*,St. Louis,18418,0
Hunter Public Relations,New York,18417,26.5
Schafer Condon Carter,Chicago,18350,8
EVB* [Omnicom ],San Francisco,18318,18.2
Marcus Thomas,Cleveland,18158,12.9
Sprocket Media,"Pasadena, Calif.",18100,19.1
Berlin Cameron United* [WPP],New York,18000,0
Mastermind Marketing,Atlanta,17800,9.9
Risdall Marketing Group*,"New Brighton, Minn.",17775,4
Peppercomm,New York,17637,-14
Barbarian Group [Cheil Worldwide],New York,17634,-16.7
GlynnDevins Advertising & Marketing,"Overland Park, Kan.",17612,12.3
MSI,Chicago,17493,-10.5
Partners & Napier [Project WorldWide],"Rochester, N.Y.",17450,-0.6
Deep Focus [Engine Group],New York,17422,56.9
M Booth [Next Fifteen Communications Group],New York,17413,19.7
Morpheus Media*,New York,17380,-13
Racepoint Global,Boston,17371,-3.6
Intermark Group,"Birmingham, Ala.",17352,8.7
Swanson Russell,"Lincoln, Neb.",17300,12.7
UniWorld Group* [WPP],"Brooklyn, N.Y.",17295,-13.5
Bottle Rocket* [WPP],Dallas,17000,NA
Godfrey Q,San Francisco,17000,18.1
Definition 6,Atlanta,17000,-19
Iris [Iris Worldwide],New York,16991,13.3
Sawtooth,"Red Bank, N.J.",16901,0.5
Riester,Phoenix,16894,0.8
Closerlook*,Chicago,16743,49.6
LeadDog Marketing Group,New York,16530,4.9
Eveo,San Francisco,16500,-25
Tierney* [Interpublic],Philadelphia,16440,9.6
Fathom,"Valley View, Ohio",16289,7.8
SBC Advertising,"Columbus, Ohio",16177,11.9
5W Public Relations,New York,16019,12.9
TBC,Baltimore,16000,-1.8
McCormick Co.,"Amarillo, Texas",15982,-17.2
Sullivan Higdon & Sink,"Wichita, Kan.",15913,26.6
Sundog,"Fargo, N.D.",15887,-6.5
Fitzgerald & Co.* [Interpublic],Atlanta,15837,-2
Direct Partners* [Omnicom ],"Marina del Rey, Calif.",15676,10.2
GKV,Baltimore,15628,8.8
AdAsia Communications,"Englewood Cliffs, N.J.",15499,-6.7
Adams & Knight,"Avon, Conn.",15487,-12.1
Power Creative,"Louisville, Ky.",15291,-6.1
Sanders/Wingo,"El Paso, Texas",15286,2.6
Vest,"Louisville, Ky.",15202,15.8
DMW Direct,"Chesterbrook, Pa.",15182,30
H&L Partners,San Francisco,15145,11.1
Archer Malmo,"Memphis, Tenn.",15110,10.6
Mitchell Communications Group* [Dentsu],"Fayetteville, Ark.",15026,9.8
GlobalWorks Group,New York,15000,-2.3
Carol H. Williams Advertising,"Oakland, Calif.",15000,45.3
Lockard & Wechsler Direct,"Irvington, N.Y.",14958,0.3
Zambezi,"Venice, Calif.",14800,13
Commonground Marketing,Chicago,14722,64.4
Wing* [WPP],New York,14649,-2
KHJ Brand Activation,Boston,14500,5.2
Factory Design Labs,Denver,14449,-26.2
Hanley Wood Marketing,Minneapolis,14446,13.7
Radarworks,Los Angeles,14418,40.2
3Q Digital,"San Mateo, Calif.",14297,37.4
Makovsky,New York,14250,9.6
Duncan/Channon,San Francisco,14200,23.5
Ignite Social Media,"Cary, N.C.",14060,7.4
Space150,Minneapolis,14035,-16.7
Cooney/Waters Group [Creston],New York,14021,-26.1
Buntin Group,"Nashville, Tenn.",14010,3.8
Camelot Strategic Marketing & Media,Dallas,14000,16.7
Rodgers Townsend* [Omnicom ],St. Louis,14000,10.1
Chandelier Creative,New York,14000,40
WebMetro,"San Dimas, Calif.",13999,16.5
Casanova Pendrill* [Interpublic],"Costa Mesa, Calif.",13910,7
Emanate* [Omnicom ],New York,13875,-14.3
Tenthwave Digital,"Melville, N.Y.",13821,17.4
Underground Elephant,San Diego,13801,40.5
Elite SEM,New York,13800,38
Sub Rosa,New York,13800,45.3
R2integrated,Baltimore,13792,-1.4
MGSCOMM,Miami,13772,9.7
Smith,Seattle,13723,-29.6
Iconmobile* [WPP],"Santa Monica, Calif./Berlin",13700,8.7
Trozzolo Communications Group,"Kansas City, Mo.",13576,25.5
Ron Foth Advertising,"Columbus, Ohio",13556,6
Oneupweb,"Traverse City, Mich.",13500,0
Mx Group,"Burr Ridge, Ill.",13400,13.6
Fame* [Omnicom ],Minneapolis,13380,1.3
Marlin Network,"Springfield, Mo.",13333,17.8
JPL,"Harrisburg, Pa.",13300,-10.7
McGarrah Jessee,"Austin, Texas",13268,-3.3
Struck*,Salt Lake City,13173,-11
Vidal Partnership*,New York,13140,0
Response Mine Interactive,Atlanta,13115,-4.1
Rain*,New York,13000,8.3
Iostudio,"Nashville, Tenn.",13000,-55.8
Questus,San Francisco,13000,23.8
Modco Group,New York,12936,20.9
Threshold Interactive,"Culver City, Calif.",12928,6.6
Palisades Media Group*,"Santa Monica, Calif.",12910,7.6
Lippe Taylor*,New York,12842,11.7
Stephenz Group*,"San Jose, Calif.",12785,0
Brand Union* [WPP],New York/London,12780,2.9
Phelps,"Santa Monica, Calif.",12740,21.3
Relevent* [MDC Partners],New York,12500,17.9
Vizeum* [Dentsu],New York,12489,42.9
Proof Integrated Communications* [WPP],New York,12474,-1
O2 Ideas,"Birmingham, Ala.",12466,2.8
Slingshot*,Dallas,12462,1.6
GraficaGroup,"Morristown, N.J.",12450,1.2
Bodden Partners,New York,12314,8.4
RF Binder Partners [Ruder Finn Group],New York,12300,-6.4
Wpromote,"El Segundo, Calif.",12248,20.4
Noise [Engine Group],New York,12212,28.1
Pitch,"Culver City, Calif.",12200,10.9
Rise Interactive,Chicago,12075,37.4
Michael Walters Advertising,Chicago,12000,50
Straight North,"Downers Grove, Ill.",12000,46.3
Tombras Group,"Knoxville, Tenn.",12000,9.1
PJA Advertising & Marketing,"Cambridge, Mass.",12000,-17.2
LMO Advertising,"Arlington, Va.",12000,-1.3
Big Spaceship,"Brooklyn, N.Y.",12000,9.1
Hanson*,"Maumee, Ohio",11953,-5.9
Genuine Interactive*,Boston,11943,8.6
Republica,Miami,11900,11.2
SSCG Media Group* [Omnicom ],New York,11856,31.7
True North,New York,11814,3.8
Mono* [MDC Partners],Minneapolis,11710,6.4
Concentric Health Experience* [MDC Partners],New York,11700,10
MicroMass Communications,"Cary, N.C.",11505,-6.5
Lapiz USA* [Publicis ],Chicago,11505,4.6
Bailey Lauerman*,"Omaha, Neb.",11500,5.4
Ologie,"Columbus, Ohio",11448,3.7
Proof Advertising,"Austin, Texas",11428,7.2
SparkPR,San Francisco,11361,0.7
Sullivan*,New York,11344,7
Della Femina/Rothschild/Jeary & Partners*,New York,11324,-25.9
Natrel Communications,"Parsippany, N.J.",11312,-1.5
Clarity Coverdale Fury,Minneapolis,11300,4.6
Ab&c Creative Intelligence,"Wilmington, Del.",11260,6.7
Broadstreet Productions,New York,11254,-13.4
Brighton Agency,St. Louis,11179,28.8
Cranford Johnson Robinson Woods*,"Little Rock, Ark.",11174,-2.2
Gelia,"Williamsville, N.Y.",11118,8.4
Elias/Savion Advertising,Pittsburgh,11055,15.3
Callahan Creek,"Lawrence, Kan.",11044,-15.1
Cibo,San Francisco,11000,57.1
LaneTerralever,Phoenix,11000,32.5
Communica,"Toledo, Ohio",11000,4.8
PulseCX,"Montgomeryville, Pa.",11000,22.2
Sequence,San Francisco,10900,0.9
Kaplow Communications,New York,10869,0.2
De la Cruz Group,"Guaynabo, P.R.",10828,-41.5
Sloane & Co.* [MDC Partners],New York,10800,0
Nelson Schmidt,Milwaukee,10780,10
Johannes Leonardo* [WPP],New York,10722,20
Marca Miami [Marc USA],"Coconut Grove, Fla.",10653,87.8
Threespot,Washington,10565,15
IW Group* [Interpublic],"West Hollywood, Calif.",10516,31.6
St. John & Partners,"Jacksonville, Fla.",10511,25.3
Rally Marketing Group,Seattle,10507,-4.3
Admerasia,New York,10500,-10.6
Prime Access,New York,10500,NA
Rokkan* [Publicis ],New York,10500,16.7
Muse,"Culver City, Calif.",10433,9
Northlich*,Cincinnati,10355,-26
Carrot Creative*,"Brooklyn, N.Y.",10340,38.2
PBJS* [Publicis ],Seattle,10280,0
LaunchSquad,San Francisco,10143,17.4
Sigma Marketing Insights,"Rochester, N.Y.",10135,-8.9
Anthology Marketing Group,Honolulu,10060,4.4
Pedone & Partners,New York,10000,0
Traction,San Francisco,10000,42.9
Siltanen & Partners Advertising,"El Segundo, Calif.",10000,0
Phonevalley* [Publicis ],Boston,10000,0
Rasky Baerlein Strategic Communications,Boston,9957,-3.7
FullSix* [FullSix Group],"Levallois-Perret, France",9917,1
Current Lifestyle Marketing* [Interpublic],Chicago,9900,-2
Bayshore Solutions,"Tampa, Fla.",9900,28.4
Bromley Communications* [Publicis ],San Antonio,9872,-6.1
Strategic America,"West Des Moines, Iowa",9861,-0.1
FKQ Advertising & Marketing,"Clearwater, Fla.",9847,-16
