AGENCY-COMPANY,HEADQUARTERS,2015-REVENUE,% CHG
OMG Outdoor Media Group* [Omnicom],New York,70102,8.1
HelloWorld*,"Southfield, Mich.",70000,0
Optimedia International U.S.* [Publicis],New York,69791,12.8
FTI Consulting (Strategic Communications)*,New York,67828,5.6
SMG Performance Marketing* [Publicis],Chicago,67038,11.8
Finn Partners,New York,66634,5.5
Apco Worldwide,Washington,66152,-4.2
DDB Health/DDB Remedy* [Omnicom],New York,66037,8.5
Marketing Store,Chicago,65897,14.6
Team* [MDC Partners],"Fort Lauderdale, Fla.",65000,0
Tribal Worldwide* [Omnicom],New York,64900,9.1
PMK-BNC* [Interpublic],"West Hollywood, Calif.",63503,15.5
PureRed,"Stone Mountain, Ga.",63153,15.9
Anomaly* [MDC Partners],New York,62343,21
Glover Park Group* [WPP],Washington,61934,0
Saatchi & Saatchi Wellness* [Publicis],New York,61905,19
Moroch Partners,Dallas,61519,11.6
Neo@Ogilvy* [WPP],New York,61164,19.4
Acronym,New York,60850,21.2
Siegel & Gale* [Omnicom],New York,59504,19
Performics* [Publicis],Chicago,58460,20
Code and Theory,New York,58000,NA
Allen & Gerritsen,Boston,57436,0
CDMiConnect* [Omnicom],New York,56591,12.1
Rauxa,"Costa Mesa, Calif.",56460,-5.3
ICR,New York,56209,10.8
Havas PR* [Havas],New York,55800,NA
Mars Agency,"Southfield, Mich.",55009,1.4
Rockfish* [WPP],"Rogers, Ark.",55000,41
Deep Focus [Engine Group],New York,54783,19.2
MWWPR*,New York,54000,0.9
Marketing Werks*,Chicago,53976,-11.1
Barkley,"Kansas City, Mo.",53790,15.6
Fusion Marketing,St. Louis,53600,7.2
TPN* [Omnicom],Dallas,53370,7.8
Sard Verbinnen & Co.*,New York,51830,8.9
Healthcare Consultancy Group* [Omnicom],New York,51232,5.7
Essence* [WPP],London,50903,32.2
Paradysz & PM Digital,New York,50202,9.5
Brierley & Partners*,"Plano, Texas",50000,11.1
Publicis Life Brands Medicus* [Publicis],New York,50000,0
Impact XM,"Dayton, N.J.",49620,6.9
GMMB* [Omnicom],Washington,49500,-10
R&R Partners,Las Vegas,49040,-0.3
Russ Reid Co.* [Omnicom],"Pasadena, Calif.",48784,0.7
Ackerman McQueen,Oklahoma City,48074,2.5
Carmichael Lynch* [Interpublic],Minneapolis,47783,8.5
DKC,New York,46950,13.1
Ruder Finn*,New York,46400,0.1
R2C Group,"Portland, Ore.",45800,3.5
M&C Saatchi,London,45333,81.3
Publicis Health Media* [Publicis],Philadelphia,45000,50
Kobie Marketing,"St. Petersburg, Fla.",45000,77.6
Media Storm*,"Norwalk, Conn.",44506,0
U.S. International Media*,Los Angeles,44036,0.9
GlobalHue*,"Southfield, Mich.",43946,-13.5
Sandbox Group,Chicago,43876,18.7
Allied Integrated Marketing*,"Cambridge, Mass.",43741,7.9
Magna Global* [Interpublic],New York,43734,15
Vizeum* [Dentsu],New York,43312,45
Pepperjam,"Wilkes-Barre, Pa.",42300,NA
BVK,Milwaukee,42250,10
Ayzenberg Group,"Pasadena, Calif.",42050,31.4
The Bloc,New York,41726,-8.1
Didit,"Mineola, N.Y.",41478,32.5
Marc USA [Eastport Holdings],Pittsburgh,41207,-5.1
Allison & Partners* [MDC Partners],San Francisco,41000,29.2
Sparks*,Philadelphia,40872,4.2
EG+ Worldwide* [Omnicom],"Long Beach, Calif.",40597,0.7
Finsbury* [WPP],New York,40000,0.8
CMI/Compas*,"King of Prussia, Pa.",39552,32.3
Greater Than One,New York,39200,35
HackerAgency* [Interpublic],Seattle,38792,4.2
FutureBrand* [Interpublic],London,38534,13.3
Colle & McVoy* [MDC Partners],Minneapolis,38500,1.3
Discovery USA* [Publicis],Chicago,38000,0
Big Fuel Communications* [Publicis],New York,37553,2.4
David & Goliath,"El Segundo, Calif.",37400,11.3
Bartle Bogle Hegarty* [Publicis],London,37246,0
Razorfish Health* [Publicis],New York,37000,-7.5
Mercury Media*,"Santa Monica, Calif.",36380,0
McKinney [Cheil Worldwide],"Durham, N.C.",36200,6.8
CMD,"Portland, Ore.",36148,10.6
Venables Bell & Partners,San Francisco,36000,-7.7
Eric Mower & Associates,"Syracuse, N.Y.",35791,-1.3
PadillaCRT,Minneapolis,35670,7.4
Anderson Direct & Digital,"Poway, Calif.",35608,4.7
Marina Maher Communications* [Omnicom],New York,35512,0.6
Cramer,"Norwood, Mass.",35500,36.5
AgencyRx* [Omnicom],New York,35499,-23.7
Zeno Group [DJE Holdings],New York,35421,25.2
Knock,Minneapolis,35274,13.3
Doremus* [Omnicom],New York,35231,3.4
Saatchi & Saatchi X* [Publicis],"Springdale, Ark.",35022,2.4
Swirl*,San Francisco,35000,16.1
Mother New York [Mother Holdings],New York,35000,6.1
Kinetic* [WPP],New York,34805,2.5
MCD Partners [M&C Saatchi],New York,34750,6.9
Bader Rutter & Associates,"Brookfield, Wis.",34668,-3.2
Concentric Health Experience* [MDC Partners],New York,34660,43.1
MMGY Global,"Kansas City, Mo.",34493,6.2
Matomy* [Matomy Media Group],"Tel Aviv, Israel",34232,3.5
Grizzard Communications Group* [Omnicom],Atlanta,33975,0
Bernstein-Rein Advertising,"Kansas City, Mo.",33867,-9.7
R2integrated,Baltimore,33654,18.4
Wire Stone,San Francisco,33500,14.2
BFG Communications,"Bluffton, S.C.",33453,-18.5
Lopez Negrete Communications,Houston,33438,-21
Brodeur Partners*,Boston,33354,0
Translation*,New York,33169,-8.7
Giant Creative Strategy,San Francisco,33000,-29.8
Laughlin Constable,Chicago,32900,15.4
Conill* [Publicis],"El Segundo, Calif.",32853,-4.8
Fallon* [Publicis],Minneapolis,32852,5
Lewis,San Francisco,32845,17.7
Adcom Group,Cleveland,32811,-7.1
180 Amsterdam/180LA* [Omnicom],Amsterdam,32724,15
Alma* [Omnicom],Miami,32677,15
Tukaiz,"Franklin Park, Ill.",32563,-24
CDM Princeton* [Omnicom],"Princeton, N.J.",31422,0
Davis Elen Advertising,Los Angeles,31297,3.2
Fahlgren Mortine,"Columbus, Ohio",31189,5.1
CCG Marketing Solutions*,"West Caldwell, N.J.",31000,0
Healthwork* [Omnicom],New York,31000,NA
Orion Holdings* [Interpublic],New York,30392,2
Pop* [Advance Publications],Seattle,30364,-8.5
Bravo Group* [WPP],Miami,30270,-5.4
Grayling* [Huntsworth],London,30251,-19.8
T3,"Austin, Texas",30204,-0.6
Mekanism,San Francisco,30193,20
LatinWorks* [Omnicom],"Austin, Texas",30119,-16.4
WongDoody,Seattle,30000,0
Heartbeat Ideas* [Publicis],New York,30000,50
ID Media* [Interpublic],New York,29960,7
Blue State Digital* [WPP],New York,29856,6.6
Fitch* [WPP],London,29599,6.6
Firstborn* [Dentsu],New York,29535,1
Eleven,San Francisco,29305,-3.9
Women's Marketing,"Westport, Conn.",29000,NA
Pereira & O'Dell,San Francisco,29000,20.8
Elite SEM*,New York,28500,39.7
A.B. Data,Milwaukee,28462,5
RevHealth,"Morristown, N.J.",28000,21.7
Jellyfish,Baltimore,28000,150
Martin Williams* [Omnicom],Minneapolis,27604,3
"Butler, Shine, Stern & Partners","Sausalito, Calif.",27573,-2.3
Text 100 [Next Fifteen Communications Group],New York,27511,10.7
Coyne Public Relations,"Parsippany, N.J.",27000,17.3
BrunnerWorks,Pittsburgh,27000,-7.2
Access Emanate Communications* [Omnicom],San Francisco,26976,1.8
Adelphi Group* [Omnicom],New York,26930,8.5
Jackson Marketing Group*,"Greenville, S.C.",26600,-2.4
OutCast Agency [Next Fifteen Communications Group],San Francisco,26000,4
Carrot Creative*,"Brooklyn, N.Y.",26000,60.8
M Booth [Next Fifteen Communications Group],New York,25546,35.5
Red Interactive Agency*,"Santa Monica, Calif.",25531,17.4
Dieste* [Omnicom],Dallas,25500,20
Cadient*,"Malvern, Pa.",25500,0
Revolution,Chicago,25350,12
Switch*,St. Louis,25251,-10.6
Empower MediaMarketing,Cincinnati,25000,0
Biolumina* [Omnicom],New York,25000,0
Grupo Gallegos,"Huntington Beach, Calif.",25000,-3.8
Vitro* [MDC Partners],San Diego,24900,3.3
Regan Communications Group*,Boston,24547,-3.6
Guild,"Brooklyn, N.Y.",24500,8.9
Alcone Marketing* [Omnicom],"Irvine, Calif.",24257,-4.1
MicroMass Communications,"Cary, N.C.",24200,4.3
DiD,"Ambler, Pa.",24000,50
Tapestry* [Publicis],Chicago,23838,-5.7
Dailey* [Interpublic],"West Hollywood, Calif.",23633,-8.8
Closerlook*,Chicago,23600,10.3
Kern* [Omnicom],"Woodland Hills, Calif.",23488,5
The Search Agency*,Los Angeles,23288,8
John McNeil Studio,"Berkeley, Calif.",23249,5.4
Walton Isaacson,"Culver City, Calif.",23218,10.4
Racepoint Global,Boston,23120,12.5
Argonaut [Project WorldWide],San Francisco,23000,109.1
Fuseideas,"Winchester, Mass.",23000,2.7
Inter/Media Advertising*,"Woodland Hills, Calif.",22900,3.2
Connelly Partners,Boston,22841,6
Barbarian Group [Cheil Worldwide],New York,22821,4.8
EVB*,"Oakland, Calif.",22545,0
Space150,Minneapolis,22378,46.5
Taylor,New York,22348,3
Entree Health New York* [Omnicom],New York,22217,2
Avrett Free Ginsberg* [Interpublic],New York,22199,0
Upshot,Chicago,22000,-7.2
Work & Co.,"Brooklyn, N.Y.",22000,73.2
LMO Advertising,"Arlington, Va.",21973,48.5
Laird & Partners* [MDC Partners],New York,21927,0
Gravity Media,New York,21909,-1.6
Stamats,"Cedar Rapids, Iowa",21895,3.6
Archer Malmo,"Memphis, Tenn.",21800,-5.6
Scoppechio*,"Louisville, Ky.",21792,0.3
MV42* [Publicis],New York,21659,-3.5
Legacy Marketing,Chicago,21657,-0.4
Casanova Pendrill* [Interpublic],"Costa Mesa, Calif.",21500,22.9
5W Public Relations,New York,21467,13.2
MMB*,Boston,21441,-10
Fingerpaint,"Saratoga Springs, N.Y.",21268,4.5
Tierney* [Interpublic],Philadelphia,21100,8.5
Sigma Group*,"Upper Saddle River, N.J.",21000,0
Slingshot Companies*,Dallas,21000,NA
GlynnDevins Advertising & Marketing,"Overland Park, Kan.",20996,6.7
Mastermind Involvement Marketing,Atlanta,20750,6.4
Schafer Condon Carter,Chicago,20721,4.8
Sterling-Rice Group,"Boulder, Colo.",20700,17.6
Hunter Public Relations* [MDC Partners],New York,20675,2.1
Shift Communications,"Newton, Mass.",20433,10.8
Via Agency,"Portland, Maine",20400,-14.5
Roberts & Langer DDB* [Omnicom],New York,20213,-3.1
Mono* [MDC Partners],Minneapolis,20077,52.9
Big Spaceship,"Brooklyn, N.Y.",20000,33.3
Source* [MDC Partners],"Norwalk, Conn.",20000,-20
Flashpoint Medica* [Omnicom],New York,19989,0
Fitzgerald & Co.* [Interpublic],Atlanta,19942,23.5
Cone Communications* [Omnicom],Boston,19694,-0.6
Tombras Group,"Knoxville, Tenn.",19600,24.8
Rise Interactive,Chicago,19323,38.7
Frank Agency,"Overland Park, Kan.",19300,4.1
Osborn Barr,St. Louis,19239,-13.5
Agency 720* [Omnicom],Detroit,19228,4
Wpromote,"El Segundo, Calif.",19226,10.6
Underground Elephant*,San Diego,19200,19.5
Adams & Knight,"Avon, Conn.",19193,-3
Zubi Advertising Services,"Coral Gables, Fla.",19000,0.5
Fathom,"Valley View, Ohio",19000,2.4
Peppercomm,New York,18790,10.8
Roundhouse*,"Portland, Ore.",18700,38.5
Duncan/Channon,San Francisco,18500,12.8
LiveArea,Seattle,18473,18.5
McGarrah Jessee,"Austin, Texas",18472,0.4
Burrell Communications Group* [Publicis],Chicago,18427,1.4
Crossmedia*,New York,18315,17.9
Rodgers Townsend* [Omnicom],St. Louis,18000,0
HL Group* [MDC Partners],New York,17668,-2.5
Direct Partners* [Omnicom],"Playa Vista, Calif.",17597,0.7
Elias/Savion Advertising,Pittsburgh,17593,12
Natrel*,"Parsippany, N.J.",17439,23.3
SparkPR*,San Francisco,17425,0
LeadDog Marketing Group,New York,17396,-11.3
TM Advertising* [Interpublic],Dallas,17394,0
Serino/Coyne* [Omnicom],New York,17328,-1.5
Sullivan Higdon & Sink,"Wichita, Kan.",17253,7.4
Camelot Strategic Marketing & Media,Dallas,17205,27.4
Risdall Marketing Group*,"New Brighton, Minn.",17117,-4.6
Cole & Weber* [WPP],Seattle,17100,50
Omelet,"Culver City, Calif.",17000,-38.4
Mitchell Communications Group* [Dentsu],"Fayetteville, Ark.",16955,1.6
Muhtayzik Hoffer,San Francisco,16838,53.7
Sullivan,New York,16723,2.6
HY Connect,Chicago,16717,31.4
Gatesman & Dave,Pittsburgh,16643,21.3
Trisect,Chicago,16620,-14.5
SBC Advertising [Eastport Holdings],"Columbus, Ohio",16578,17.3
Riester,Phoenix,16552,-11.7
Pitch [Project WorldWide],"Culver City, Calif.",16500,1.9
Iconmobile* [WPP],Berlin,16500,20.4
BKV,Atlanta,16500,7.1
PMG,"Fort Worth, Texas",16500,73
H&L Partners,San Francisco,16455,-3.8
Genuine* [Interpublic],Boston,16343,18.2
Trozzolo Communications Group,"Kansas City, Mo.",16213,3.2
Y Media Labs* [MDC Partners],"Redwood City, Calif.",16200,80
Republica,Miami,16200,11.7
Sanders/Wingo,"El Paso, Texas",16180,-5
Palisades Media Group*,"Santa Monica, Calif.",16138,12.7
Godfrey Q,San Francisco,16100,-8
Marcus Thomas,Cleveland,16083,-22.8
Gelia,"Williamsville, N.Y.",16074,15.9
The Community* [Publicis],Miami,16043,21.8
Converseon*,New York,16000,10.3
Partners & Napier [Project WorldWide],"Rochester, N.Y.",16000,0
Eveo*,San Francisco,16000,0
TBC,Baltimore,15950,3.6
KHJ Brand Activation,Boston,15850,3.9
Beeby Clark & Meyler,"Stamford, Conn.",15700,12.1
GKV,Baltimore,15698,-4.2
Brand Union* [WPP],London,15658,10.4
AdAsia Communications,"Englewood Cliffs, N.J.",15609,-4.8
LaunchSquad,San Francisco,15580,19.7
Chandelier Creative*,New York,15577,3.8
Imagination,Chicago,15356,3.6
SSCG Media Group* [Omnicom],New York,15294,10
Sundog,"Fargo, N.D.",15237,-5.6
Zambezi,"Venice, Calif.",15080,-10.8
Carol H. Williams Advertising,"Oakland, Calif.",15069,9.6
Berlin Cameron* [WPP],New York,15000,0
Luckie & Co.*,"Birmingham, Ala.",15000,0
Sequence*,San Francisco,14974,17.2
Lapiz* [Publicis],Chicago,14971,11.5
Rasky Baerlein Strategic Communications,Boston,14854,4.4
Butler/Till Media and Communications,"Rochester, N.Y.",14800,34.5
Sawtooth,"Red Bank, N.J.",14750,-2
Makovsky,New York,14650,1
IMRE,"Sparks, Md.",14560,8.6
UniWorld Group* [WPP],"Brooklyn, N.Y.",14527,-11.2
Mx Group,"Burr Ridge, Ill.",14516,-5
LaneTerralever,Phoenix,14500,3.6
Mortenson Safar Kim,Milwaukee,14432,34.2
Amusement Park*,"Santa Ana, Calif.",14430,4
Traction,San Francisco,14300,30
Lippe Taylor*,New York,14288,1.3
Intermark Group,"Birmingham, Ala.",14242,1.1
Stream Companies,"Malvern, Pa.",14110,20.2
Response Mine Interactive,Atlanta,14098,25.1
Cooney/Waters Unlimited [Creston],New York,14021,-9.2
HCB Health*,"Austin, Texas",14000,0
Rain Agency,New York,14000,9.4
Relevent* [MDC Partners],New York,14000,0
Power Agency,"Louisville, Ky.",13947,-5.4
True North,New York,13935,12
Woodruff Sweitzer,"Kansas City, Mo.",13900,11.2
Icuc Social* [Dentsu],"Winnipeg, Canada",13872,2
Rokkan* [Publicis],New York,13870,2.4
MullenLowe Profero* [Interpublic],New York,13857,30
JPL,"Harrisburg, Pa.",13794,-4.5
Citizen Relations [BlueFocus Communication Group],Los Angeles,13749,-15.9
Beauty at Gotham* [Interpublic],New York,13701,-36.4
Phelps,"Playa Vista, Calif.",13639,3.5
Lockard & Wechsler Direct,"Irvington, N.Y.",13610,-2.9
Oneupweb,"Traverse City, Mich.",13500,12.5
David Stark Design & Production,"Brooklyn, N.Y.",13500,31.1
Callahan Creek,"Lawrence, Kan.",13483,5.8
Iris Worldwide [Cheil Worldwide],New York,13481,-20.5
Buntin Group,"Nashville, Tenn.",13460,-4.9
Modco Group,New York,13340,1.9
Stern Advertising*,Cleveland,13330,4.9
St. John & Partners,"Jacksonville, Fla.",13302,26.6
Doe-Anderson,"Louisville, Ky.",13277,17.6
Ologie,"Columbus, Ohio",13207,8.4
Hanley Wood Marketing,Minneapolis,13181,-0.5
O'Keefe Reinhard & Paul,Chicago,13000,209.5
Definition 6*,Atlanta,13000,0
Liquid Agency,"San Jose, Calif.",12988,-23.3
Johannes Leonardo* [WPP],New York,12961,20.9
Nelson Schmidt,Milwaukee,12954,-0.1
Bodden Partners,New York,12910,-1.4
Posterscope* [Dentsu],London,12800,0
Boathouse Group,"Waltham, Mass.",12750,1.2
Company of Others,Houston,12700,-4.5
RF Binder Partners,New York,12700,0.8
Proof Advertising,"Austin, Texas",12572,11.6
Broadstreet Productions,New York,12489,7.8
Wednesday* [Omnicom],London,12418,50.2
Terri & Sandy,New York,12300,66.2
Tenthwave Digital,New York,12269,-8.4
Marca Miami [Eastport Holdings],"Coconut Grove, Fla.",12221,-0.3
Strategic America,"West Des Moines, Iowa",12217,5.3
FKQ Advertising & Marketing,"Clearwater, Fla.",12152,14.4
DMW Direct,"Chesterbrook, Pa.",12127,-12
InVNT [Time Inc.],New York,12109,12
Planit,Baltimore,12009,34.3
Clarity Coverdale Fury,Minneapolis,12000,0
Yamamoto* [MDC Partners],Minneapolis,12000,50
PJA Advertising & Marketing,"Cambridge, Mass.",12000,-7.7
Sensis,Los Angeles,11936,31.7
Cardenas Marketing Network,Chicago,11908,NA
Southwest Media Group* [Eastport Holdings],Dallas,11750,13
IW Group* [Interpublic],"West Hollywood, Calif.",11639,3
Seiden Group,New York,11600,22.8
Michael Walters Advertising*,Chicago,11571,0
Hook Studio,"Ann Arbor, Mich.",11500,0
De la Cruz Group,"Guaynabo, Puerto Rico",11436,12
Hunt Adkins,Minneapolis,11310,2
Fuse,St. Louis,11265,2.3
Hanson*,"Maumee, Ohio",11250,-5.9
Ab&c Creative Intelligence,"Wilmington, Del.",11240,2.2
Fetch* [Dentsu],London,11070,21.4
Anthology Marketing Group,Honolulu,11059,-0.9
Hiebing,"Madison, Wis.",11019,6.9
Communica,"Toledo, Ohio",11000,0
Fly Communications,New York,11000,4.8
Cibo Global,San Francisco,11000,22.2
Triple Threat Communications,"Paramus, N.J.",11000,4.8
InterTrend Communications,"Long Beach, Calif.",11000,6.8
Bohan Advertising,"Nashville, Tenn.",10967,2.8
Godfrey,"Lancaster, Pa.",10925,-0.3
Hawthorne Direct,Los Angeles,10891,29.1
Push,Orlando,10800,-9
Lewis Communications*,"Mobile, Ala.",10769,2.6
PM3,Atlanta,10682,18.7
Cardinal Path* [Dentsu],Chicago,10667,44.6
Interlex Communications,San Antonio,10535,112.6
Camp & King,San Francisco,10500,23.5
Admerasia,New York,10500,-4.5
Current Marketing* [Interpublic],Chicago,10500,1.9
Kaplow Communications*,New York,10444,-3.9
Hello Design* [MDC Partners],"Culver City, Calif.",10268,21.4
Team Epiphany,New York,10182,42.1
Somnio,"Austin, Texas",10114,96.6
Crosby,"Annapolis, Md.",10055,-3.7
Axis Agency* [Interpublic],"West Hollywood, Calif.",10039,-0.4
TDW & Co.,Seattle,10015,31.8
Luquire George Andrews,"Charlotte, N.C.",10006,6.8
Noble Communications,"Springfield, Mo.",10000,-2.9
Magnetic Collaborative,New York,10000,31.6
Kastner & Partners,Los Angeles,10000,25
Siltanen & Partners,"El Segundo, Calif.",10000,0
BPN* [Interpublic],New York,9924,6.2
Ymarketing,"Newport Beach, Calif.",9875,24.5
Mindgruve*,San Diego,9754,1.4
Chemistry,Pittsburgh,9640,-1.6
GreenRubino,Seattle,9610,24.4
D Exposito & Partners,New York,9607,1.6
Sub Rosa*,New York,9572,-17.4
PriceWeber Marketing Communications,"Louisville, Ky.",9503,20.4
Pollinate,"Portland, Ore.",9500,6.7
Mythic*,"Charlotte, N.C.",9473,3.3
Hart,"Maumee, Ohio",9374,15.7
Larry John Wright,"Mesa, Ariz.",9360,67.1
Zehnder Communications,New Orleans,9324,-2.1
Peter A. Mayer Advertising,New Orleans,9292,-56.5
iStrategyLabs,Washington,9210,39
Zocalo Group* [Omnicom],Chicago,9201,0
Northlich*,Cincinnati,9200,0
Muse,"Culver City, Calif.",9170,17.6
Martino Flynn,"Pittsford, N.Y.",9108,9.7
Dynamit,"Columbus, Ohio",9000,55.2
